,0
0,-189.60901115551866
1,11.364013164101465
2,-193.94261348321504
3,-324.57606003897365
4,-145.0996349662888
5,-614.012286004142
6,-2676.2639155108714
7,-816.2982629172484
8,-1217.0648651100382
9,-714.6919410544965
10,-441.44924663658486
11,-506.1103758150824
12,-1892.180483122279
13,-351.29802164306926
14,-322.63047752619775
15,-280.75794420831335
16,-171.4907800347687
17,-496.7965932887898
18,-23.898482202911296
19,-141.7333312965146
20,-162.76546073307418
21,-143.06099344097805
22,-154.9890269408767
23,-111.36864649720434
24,-151.4238238506241
25,-104.44965488464672
26,-186.50367795148907
27,-185.12243616010136
28,-149.5610203116427
29,-88.5782360869602
30,-176.77870981532186
31,-124.09931882284093
32,-169.41325648012585
33,-124.81859606214732
34,-93.74744567617202
35,-143.12097200838267
36,-141.32203442803416
37,-129.29223667733092
38,-131.37127159622207
39,-120.34795617214917
40,-144.0176308064547
41,-100.74270305124082
42,-112.75717226306702
43,-130.79437751330897
44,-162.5740037923507
45,-124.7253716527228
46,-141.496548774677
47,-167.782150772468
48,-389.6080724692886
49,-222.44397797301264
50,-216.4584722322261
51,-205.50101867411544
52,-168.305830295236
53,-197.19246653570647
54,-363.6123644332283
55,-156.41470032907193
56,-126.70233044665852
57,-113.28418961759974
58,-521.2351231387631
59,-243.56455973228492
60,-493.61393870597493
61,-147.17963612765266
62,-90.74683306085846
63,-188.1505359117167
64,-612.7921137914165
65,-325.0974409654485
66,-194.1951827030032
67,-278.523016673559
68,-313.4117472050092
69,-82.39914888574904
70,-36.099684210768345
71,-65.0126716693691
72,-257.2038423832185
73,-105.98711914340991
74,-307.63944054508795
75,-324.5291597638483
76,-124.10304906891074
77,-723.6599319265658
78,-702.4989375100106
79,-589.5063650871572
80,-656.5583697050083
81,-351.05404948705166
82,-537.6940151363917
83,-346.32593166504256
84,-601.4112529588901
85,-457.5797403313335
86,-265.4841917561696
87,-569.552785047892
88,-593.6326308074374
89,-613.9562597855538
90,-75.92125774818916
91,-295.11108534274774
92,-131.64845615177188
93,-276.84657484518834
94,-491.59268041488605
95,-596.8061698216341
96,-327.29678944103733
97,-627.09215690583
98,-317.55065109805184
99,-222.0537089958307
100,-358.2563729726184
101,-244.20505240440826
102,-321.51822082940225
103,-399.52153646138794
104,-468.20904010738013
105,-461.8125006040924
106,-575.4672099894076
107,-538.5017857028283
108,-234.30748835127062
109,-285.2162620129079
110,-565.0250381686553
111,-433.00266521563844
112,-481.5927063204174
113,-513.2368757062932
114,-284.9190960249816
115,-413.451732552461
116,-370.37397066229016
117,-381.07593531956434
118,-402.8732905421264
119,-261.72682950253954
120,-282.01406813351184
121,-598.807670351506
122,-540.1234186334425
123,-599.2349046308452
124,-495.7548132068389
125,-507.70825297350336
126,-304.297355112222
127,-514.5231355672174
128,-581.6816146636456
129,-436.50803783954194
130,-438.3502133059755
131,-503.3879696885308
132,-459.18625099673284
133,-229.56922724891768
134,-562.4553450152514
135,-541.8735564056851
136,-410.364288802514
137,-375.54118703275384
138,-566.9109478572415
139,-556.0827234990686
140,-495.9056796094821
141,-467.5718168541927
142,-332.3411617575245
143,-378.3095671547961
144,-592.3391955750969
145,-532.8981606578292
146,-439.52949163750804
147,-444.3673123652669
148,-408.6790855922567
149,-574.2872931714707
150,-519.2721678113738
151,-420.20045321046655
152,-433.4584859715558
153,-257.09168206995037
154,-488.65946378555276
155,-475.03950998500005
156,-430.06756011040795
157,-599.1139456414606
158,-582.4072087718953
159,-307.95008370052693
160,-335.55202993966105
161,-286.50629682057024
162,-632.2614847310706
163,-263.61864117226867
164,-463.23843273548334
165,-520.574934177876
166,-625.2031313750613
167,-494.1065165899795
168,-572.5005273998269
169,-300.1019554630319
170,-585.6291676734697
171,-299.7480298677856
172,-515.8613392817705
173,-384.968092954252
174,-591.4246173922195
175,-539.2703321136524
176,-288.45286585606954
177,-358.16858708080275
178,-476.50324327921084
179,-488.6504057760159
180,-473.2852126895867
181,-523.1272229595465
182,-515.4671759000165
183,-432.99930413941956
184,-485.52726211762655
185,-558.8739078286527
186,-389.4634974343425
187,-527.5009765146337
188,-384.35223005111675
189,-356.24102612952515
190,-569.1566260903976
191,-568.7339545049617
192,-469.8710177670351
193,-486.1626524137653
194,-400.18508126003445
195,-528.1640373542205
196,-398.2509143012752
197,-363.01798805515733
198,-145.6361382600286
199,-133.43704752255087
200,-156.30063403256244
201,-125.88410456863738
202,-183.84606060360392
203,-227.24868858519312
204,-209.10707689795805
205,-251.6946286594514
206,-210.99419956854916
207,-249.41349097440866
208,-196.78761057644562
209,-146.30904233046036
210,-323.06456954151815
211,-154.67882405278831
212,-523.0782276520702
213,-536.9724634802071
214,-130.32985777537326
215,-428.7614877169406
216,-374.9669425195119
217,-233.6244937961356
218,-602.3014690686059
219,-320.2728066043803
220,-198.70259170614008
221,-386.2004098951795
222,-489.94785894310377
223,-457.0275469115695
224,-520.1499449020199
225,-339.0541860283537
226,-527.133680627058
227,-490.8245198612543
228,-666.1410880155646
229,-475.20697393305153
230,-353.37320288811196
231,-308.05734983200483
232,-424.0502153374356
233,-609.6097813624214
234,-497.20964882804105
235,-486.5678081299397
236,-366.0891905144543
237,-90.39873070905276
238,-157.1388283241535
239,-205.1609648179737
240,-137.35466886199782
241,-140.2137409857843
242,-109.44943635373997
243,-150.4735974621734
244,-142.2279005008603
245,-187.0175903922181
246,-173.17252905865297
247,-158.46645721313257
248,-178.98946532292393
249,-123.3928498776753
250,-135.02385596053745
251,-152.06015084412547
252,-106.67735960481549
253,-178.1223399406956
254,-102.2598804715629
255,-209.88991613772333
256,-50.30208620709835
257,-107.81722115398998
258,-193.2705146781924
259,-123.81979541525708
260,-88.5781271421421
261,-150.9967127782683
262,-93.70859817903681
263,-99.22963008191714
264,-1.4166280899371912
265,-230.72273354808414
266,-53.36726601098641
267,-47.84923821781766
268,-221.5987714469801
269,-49.764475146728145
270,-217.57815510798284
271,-156.14813401840584
272,-83.26196182418573
273,-181.46679028025923
274,-46.83187048350812
275,-112.85374560838304
276,-211.8393522109933
277,-736.2142609578681
278,-210.92954471769445
279,-186.78092158077567
280,-133.39580364193927
281,-107.9893986475628
282,-179.1686953227943
283,-80.49945702311177
284,-99.75008102448983
285,-54.77490889865421
286,-248.32088253990594
287,-200.90251676236224
288,-180.5320682511462
289,-88.8789691388694
290,-93.44544565691741
291,-121.03383821224404
292,-1227.679770264385
293,-512.6813633062357
294,-40.215140932906856
295,-120.93657118034405
296,-67.51258434766771
297,-184.8728993032255
298,-880.0424722240494
299,-900.3570216221773
300,-1454.6530104797348
301,-156.3448353552699
302,-330.03618549385305
303,-1487.7028223693474
304,-1260.2237560826397
305,-33.015177714422435
306,-628.2947634552107
307,-1209.9830928719553
308,-2294.050346126928
309,-983.5709362677877
310,-1204.85292112881
311,-1913.7164363194315
312,-1886.3893429820898
313,-4111.477827231483
314,-295.67931965696596
315,-88.13538132252609
316,-135.3011002778079
317,-109.89611517781918
318,-139.78408336727995
319,-11.674603740244805
320,-85.91043274246182
321,-213.78036961529807
322,-1121.1628348864347
323,-82.18345239520852
324,-426.4194130386114
325,-182.75380797950154
326,-713.3983662236046
327,-112.86493946049555
328,-135.2489614661943
329,-802.7781572722796
330,-175.38193973062226
331,-249.3992140579943
332,-148.17948697684028
333,-142.85972252682404
334,-145.29776079939217
335,-172.37804848810657
336,-775.2749702304675
337,-186.20219142790597
338,-261.6972973042548
339,-108.57023160869403
340,-126.49791630768374
341,-163.46883688604657
342,-720.4841724375592
343,-807.5139029383565
344,-249.11970159600244
345,-161.2541275177694
346,-13.320641016999488
347,-138.25329880436175
348,-140.1621170061182
349,-162.7551920513577
350,-53.280707903749416
351,-851.6512533526276
352,-175.8305313000293
353,-608.1067444314017
354,-113.84355788890524
355,-122.39228672924412
356,-153.0716805234807
357,-257.3322004806982
358,-162.17369038498276
359,-177.9248912021219
360,-129.89715495112
361,-150.63540911703885
362,-237.3322563598668
363,-133.2515021849114
364,-94.96825661599817
365,-140.48336884014046
366,-195.4096555896656
367,-58.3789984830183
368,-173.0976528775978
369,-108.6263728036562
370,-34.35730158120768
371,-95.90218577215052
372,-143.29876518282626
373,-95.92647958089651
374,-124.04035293495903
375,-154.46856287025625
376,-133.10225702072805
377,-676.7011752583774
378,-177.5080565422472
379,-99.66085795570424
380,-170.61684005178302
381,-80.60848641140716
382,-1089.4133146340387
383,-153.01607756099466
384,-938.7366751099643
385,-1482.0095702435863
386,-589.7656009028951
387,-270.2944263397575
388,-2220.9199046354674
389,-560.6899640726855
390,-915.6569927388997
391,-943.0634451125084
392,-1356.1107669516027
393,-347.7377410100376
394,-231.39029534677806
395,-1078.9814741047237
396,-1308.5955650955218
397,-853.5946516150364
398,-678.2943344073477
399,-991.5826876776123
400,-267.50625780392073
401,-445.8435541806326
402,-1051.2342034504559
403,-641.1307881508928
404,-1296.3521322574231
405,-704.6407760552311
406,-381.5424055946221
407,-891.3852863177673
408,-1615.7878528196757
409,-823.883122622587
410,-164.23359143989836
411,-469.6085449865279
412,-471.36650793846087
413,-463.99961120684515
414,-666.0718597135226
415,-414.0201102757691
416,-1464.1649210016355
417,-1230.4699253050887
418,-363.93277423821695
419,-246.4896921341408
420,-212.10229826207694
421,-2.485695322847235
422,-53.69483811837283
423,-233.48367610657255
424,-1109.8144805338075
425,-715.2693229232298
426,-832.3196773819409
427,-334.72647093928504
428,-1079.7542441485532
429,-291.3012727955355
430,-582.8573977532049
431,-527.9792113913625
432,-530.2980845236282
433,-424.35553641139535
434,-422.537100521235
435,-1087.0182777988591
436,-629.3564308251875
437,-513.0962175465197
438,-465.9440450407379
439,-176.65017831960563
440,-1052.7177811500828
441,-403.3524999348094
442,-525.3653274747604
443,-425.5811746644127
444,-204.25188551283225
445,-196.29392619410396
446,-533.2924188011334
447,-379.89285802756336
448,-460.60355606226756
449,-1142.5670375613001
450,-535.871900071672
451,-1277.3712199336549
452,-979.6052383103133
453,-267.58481976803137
454,-300.51652990290665
455,-930.4564594066792
456,-666.2628647701154
457,-705.2737474034567
458,-634.4021310526466
459,-77.96909143574138
460,-307.07382252345946
461,-757.4742070613686
462,-627.0401658869694
463,-840.7481140498793
464,-546.3189709550234
465,-907.4642378959048
466,-644.0545191692413
467,-633.8372773104003
468,-299.86078407964374
469,-544.8791304056265
470,-515.9671944075574
471,-920.5228404444695
472,-485.23160658771894
473,-754.6724408961941
474,-93.99555137872052
475,-481.2979113411598
476,-1065.5358820887031
477,-716.1005894582306
478,-417.5740806692703
479,-448.14534473121546
480,-423.969468064728
481,-745.3314874243765
482,-318.6852990642082
483,-286.96796137840164
484,-534.6725634263696
485,-714.2476892431208
486,-636.4196687886017
487,-552.4443532761297
488,-401.0427333203649
489,-607.7211722793763
490,-134.42293256029615
491,246.48247441536355
492,-240.23359697795482
493,-94.91535666790807
494,26.108837620055567
495,-17.588424500543
496,-82.75425752498299
497,-72.25769044803886
498,-117.05927967132922
499,-32.07926178377308
500,-145.3126082920037
501,-857.2591754125339
502,-63.793699373263294
503,-109.67274998406893
504,-93.3929722572939
505,-105.05685360586718
506,-92.11780620097402
507,-76.51795291388113
508,-111.140559534841
509,-98.50026017196038
510,-48.984902744863405
511,-25.754578667972737
512,-27.661037330649947
513,-107.6454949974039
514,-110.85230821679811
515,-94.20145644163976
516,-137.3847025157721
517,-106.68293570547458
518,-11.402199965899243
519,-41.9049342866856
520,208.80212931778652
521,-73.27059325088348
522,9.456305178760175
523,-49.6538932288213
524,23.126141639061274
525,-88.37873485302529
526,38.67114082822479
527,-118.74540871931603
528,-130.4905163883494
529,-223.71200606954474
530,-185.80393853687897
531,-119.25908266394904
532,-103.42253701068094
533,-97.28020386201769
534,-134.55905458691637
535,-113.9435649016835
536,-187.1545423610841
537,-188.56578288282842
538,-132.35543309817712
539,-258.0269164561429
540,-285.1858697406584
541,-460.24067691141886
542,-291.35794812877975
543,-219.12628688973706
544,-158.0586005147728
545,-137.01824408860216
546,-131.2481215807821
547,-138.82773807740776
548,-67.36624623449943
549,-194.83268136243774
550,-145.20876043182108
551,-109.03000247961988
552,-200.70825591069328
553,-115.37655991497351
554,-129.87117727145431
555,-110.62087183368959
556,-146.10204367168853
557,-145.31942619458917
558,-146.91507504498702
559,-133.59484500929474
560,-161.13300754818349
561,-116.62493804894733
562,-147.9180243582795
563,-142.92358978658402
564,-166.12689976523092
565,-132.54170598559026
566,-137.79555296897385
567,-158.57378964610038
568,-183.28287521103658
569,-170.0945261688627
570,-152.6616828782192
571,-136.58139189576693
572,-147.48397466061647
573,-170.99526765749152
574,-124.74308647341573
575,-170.26863549813004
576,-124.50197949111752
577,-168.7293054623367
578,-132.42744530355054
579,-157.1615876999367
580,-139.17850917438605
581,-122.42597406839926
582,-164.9853502207595
583,-121.32582594528455
584,-122.58656124833045
585,-123.73305966248367
586,-140.38578764654193
587,-138.1699960190685
588,-116.84372881983273
589,-156.34821350967496
590,-115.45257005594073
591,-139.86451459525676
592,-117.55104824972868
593,-151.11488707801624
594,-163.67850461766537
595,-123.16127824027511
596,-108.53813212658277
597,-115.05424978667543
598,-132.0500612517648
599,-118.86545903507228
600,-100.68527870293188
601,-111.88654594873026
602,-117.23096010117368
603,-123.40355330518045
604,-124.52892111632127
605,-145.6372513205842
606,-127.02135950885184
607,-150.75928971192738
608,-98.59193242613301
609,-142.1692754345323
610,-150.85688752997888
611,-94.45625271428912
612,-111.16339773781506
613,-147.74775363428563
614,-107.85720462830815
615,-115.51442360280807
616,-88.74311279768787
617,-100.96073995037253
618,-113.21522230343851
619,-141.68147240685187
620,-119.86051195015133
621,-152.86517066680642
622,-149.12021783988308
623,-168.41158496315938
624,-131.74581512301063
625,-87.24035847174946
626,-93.62068509013503
627,-138.52653058110957
628,-135.71762516615308
629,-119.08747343981887
630,-105.62539038760647
631,-137.2775093043312
632,-122.10887832325915
633,-147.42398189479076
634,-103.5012869165821
635,-108.5792388202118
636,-128.98929332827066
637,-115.33298802397658
638,-100.35166820792196
639,-99.17206261126394
640,-134.63998897579063
641,-133.19548202130315
642,-107.00033485516852
643,-110.72585863251433
644,-152.85331688238995
645,-132.20456436469266
646,-139.17577333631823
647,-98.33577896084016
648,-154.46187854738398
649,-138.77224612257845
650,-358.1474778979706
651,-137.75053046721305
652,-112.75748408749354
653,-92.11251541075455
654,-130.8531005294118
655,-93.74216262957958
656,-141.15249650390354
657,-111.87397420704693
658,-131.06084270611174
659,-110.3082073244681
660,-94.61793075861692
661,-143.85416763605775
662,-120.82298333413317
663,-125.86591595571159
664,-142.59389645093657
665,-117.81120380337697
666,-134.78762316853422
667,-134.59933700236445
668,-118.14726274779755
669,-423.39925737309767
670,-348.46820098587455
671,-553.5967786878666
672,-353.5099558614536
673,-438.25622629310175
674,-823.2380004826415
675,-668.8859648171521
676,-244.00838097449557
677,-382.1628815515498
678,-296.60276200920833
679,-262.5547572801387
680,-179.7651268691517
681,-82.36085952772129
682,-391.5258486876026
683,5.468287628907376
684,-530.8835564710791
685,-441.54496719876494
686,-1151.9046108599566
687,-2283.166033613375
688,-492.84103227163615
689,-447.7348635586036
690,-454.35463206200234
691,-1166.6460877375855
692,-415.8193374151325
693,-1051.154645322791
694,-680.2786557647119
695,-439.47677374746127
696,-1234.5611719071576
697,-422.1410141845892
698,-656.736017011107
699,-717.3770524656138
700,-624.5579030121862
701,-136.75503029094062
702,-999.7122036711187
703,-859.6994369226799
704,-704.4963270012862
705,-99.36162141467348
706,-400.73240824160206
707,-365.62398169987904
708,-638.2217449198685
709,-927.0711176504673
710,-851.4936717590068
711,-453.0580892836415
712,-397.6511314166819
713,-646.8555983899579
714,-809.0112695392469
715,-662.92845449316
716,-106.87826203838155
717,-606.958899694668
718,-374.0891074115989
719,-498.3250513752861
720,-505.82492905310323
721,-471.8715398875167
722,-936.825363337268
723,-586.4925218138021
724,-839.5960706431717
725,-440.49488266076133
726,-1398.1154602739466
727,-376.0614143337439
728,-498.6205128014699
729,-346.36268599440234
730,-186.90286629947252
731,-592.3367104384607
732,-619.287907797203
733,-577.7967176004652
734,-546.7006605712365
735,-414.19185877470386
736,-344.2676949881552
737,-396.62931039083946
738,-315.04196855603016
739,-412.1442409537089
740,-529.0683611832781
741,-344.32614120001193
742,-480.7840931985038
743,-120.73269795333889
744,-33.450426132012566
745,-144.44509582410205
746,-184.63154375753572
747,-65.14518085119198
748,-141.1052511602419
749,-83.9749270824144
750,-108.6866953207822
751,-43.76636499773625
752,-86.66408526506395
753,-89.04592378251883
754,-167.823492243977
755,-133.53647362207846
756,-122.20085270843286
757,-64.24363661419633
758,-114.44574915992041
759,-65.98306700670985
760,-73.64164177593737
761,-189.3441232571722
762,-141.16209569130348
763,-23.287418038172646
764,-92.95016735111668
765,-72.11620462248246
766,-91.3961237080755
767,-91.00245491165232
768,-68.64536643962052
769,-227.6115292344147
770,-36.141836732683124
771,-106.00653541877428
772,-57.94478492719504
773,-68.79425491035852
774,-107.64170494214765
775,-168.26338578424873
776,-147.3938923014297
777,-55.859491998900566
778,-68.3149762005743
779,-16.62751192797778
780,-65.8355836178101
781,-83.25911994126892
782,-39.05807972956954
783,-82.1142557175142
784,-109.30513324058595
785,-118.07152962872846
786,-125.67795373457858
787,-80.94359617560909
788,-35.521645701704585
789,-39.25149573629366
790,-25.625098796645815
791,-69.30323888828141
792,-3.735284985271946
793,-65.49519887942674
794,-54.12090475972657
