Scores,Steps
-17.42620136,999
-30.23212372,999
85.41685926,177
-66.37934458,999
-146.0998955,999
-110.3582771,999
77.82348462,845
-15.36051678,999
-8.848102986,999
-4.316361444,999
-4.607678224,999
-3.933881251,999
-13.06489694,999
-8.892164867,999
-1.830303969,999
-4.511940741,999
-3.097689842,999
-5.169026746,999
-3.962642953,999
-5.33483598,999
-5.926925088,999
-10.07915602,999
-75.65920018,999
-91.81680054,999
54.39747778,738
-2.36628424,999
-3.243081153,999
-11.6987697,999
94.47994391,829
-16.35094622,999
-112.1198389,999
52.22360161,608
92.41674654,83
92.75310094,77
93.42748638,83
91.83134004,89
92.649188,81
91.3043393,83
91.29866543,84
91.44438141,89
91.48546647,85
91.02430249,90
91.60199414,84
92.24899838,82
94.76717581,173
91.27576694,464
92.73084327,298
94.02945976,98
92.90020474,79
92.81793498,79
91.93321303,77
91.85288654,81
92.18486894,77
92.58633178,78
91.81120398,82
92.18598599,77
92.38975059,77
91.97154403,82
92.93166313,78
92.50953334,79
92.4749665,77
91.83122369,73
93.05514246,73
93.28947911,74
92.16280964,75
93.10350158,75
93.10373481,76
92.66787472,74
92.97323134,74
93.91401485,77
92.9806958,71
93.03379923,70
92.57863371,258
89.12687322,157
93.79550966,72
92.37324328,74
92.09921035,78
93.76067167,77
93.00143037,73
92.35104982,72
91.93233291,72
93.06531974,74
92.79741584,78
92.26734935,71
92.39456078,74
93.7711089,73
92.55995384,72
93.0049246,71
91.90178148,73
-2.264216505,999
-6.553921986,999
-5.605176416,999
-9.689481236,999
-1.922974639,999
-3.563322336,999
-3.871218176,999
-2.198608749,999
-8.065390837,999
94.56323759,81
93.46125535,80
93.86659497,76
94.1938164,69
93.74714427,71
93.79679994,67
93.87104455,73
93.26787091,69
93.37642295,69
93.56070001,68
93.11824179,67
92.12103202,69
93.31192084,67
93.82299738,71
93.59839753,68
93.69608007,70
92.75340582,69
93.55572737,67
93.1843057,67
93.8501643,67
94.39023325,70
93.36524997,66
93.91866039,67
94.61280072,70
82.46916685,823
-2.893248888,999
-1.713201503,999
-7.052399646,999
93.35077529,892
92.78847259,269
92.40866175,136
92.40511355,69
93.32397465,66
91.97675921,67
93.41329096,72
90.61548195,175
79.54500401,236
87.88942615,384
82.70045149,207
-79.37547516,999
-105.928179,999
-78.98058028,999
-60.1837687,999
-117.7717746,999
-40.66960577,999
23.20000269,943
90.43649563,124
-6.216420767,999
91.8967055,397
92.23939581,97
91.78634747,464
88.56428883,780
92.09576649,177
-2.762845263,999
93.06019851,101
91.08675233,399
92.81198497,279
90.51313797,296
93.68132526,144
91.20092621,114
92.92713034,81
92.06301355,172
90.98359182,106
90.70405317,96
90.25130959,98
89.8078374,98
90.53922547,95
91.18016761,97
90.26308969,103
89.61816978,98
90.83433294,98
89.99090939,98
90.43051191,95
90.98761153,96
90.46491049,95
90.7567161,96
89.73727544,96
90.28927806,97
90.50192925,97
90.93372146,94
90.73427185,95
90.50359731,97
90.72367067,96
90.43169628,94
89.62894882,99
90.55917711,94
93.12505288,69
90.32649429,95
91.30211038,95
91.11963299,96
89.78612368,94
92.66515675,69
89.62028308,96
90.69325046,92
90.12923392,93
90.90083197,95
93.18326653,68
93.20852806,70
93.77413101,68
92.68277355,68
93.1298737,69
93.45227726,69
93.2243802,69
92.97707514,71
92.91751942,71
93.22013742,74
92.524265,71
92.55492335,70
92.76125128,70
93.23530309,71
93.26787462,71
92.71267417,67
93.07474136,68
93.50243071,72
93.06122588,70
94.17906391,71
91.79362259,68
92.54182334,67
93.08284824,67
92.93507674,72
93.12871583,67
93.45536825,74
93.78481825,69
93.27624903,68
92.92721945,71
92.88276022,67
92.42986093,68
93.45908605,67
94.01093194,70
92.55623306,67
93.40117995,66
92.73910664,66
92.82981445,68
93.42213608,66
93.07619092,68
93.06905227,71
93.19585964,71
93.7143688,67
92.76117631,68
93.51778838,67
93.27524261,67
92.7828857,72
93.19616452,67
93.00157524,66
92.58207082,67
92.83186573,67
91.72807167,69
93.61971528,71
93.97956482,69
93.68809491,66
93.84976648,68
93.04687965,66
92.99338499,69
91.92346839,66
92.62139247,67
93.09632902,68
93.326673,67
93.85381752,67
92.95644194,67
93.83321548,68
93.70082528,67
94.32793578,69
92.46162255,66
94.05666084,69
92.79175483,67
91.52962198,67
93.52984628,71
93.62152458,67
93.73679225,70
93.07058712,69
92.88093448,68
93.18128542,68
92.94284087,66
93.46440507,71
93.90126225,72
93.15404748,66
94.41732089,78
93.35294744,67
92.35778438,72
93.0500672,67
93.6036275,69
92.63128682,67
93.44797913,68
93.27902113,71
92.51768825,74
93.62811917,71
92.58089757,75
91.48109245,76
93.70816855,66
94.11091744,70
92.38771552,71
93.57388322,72
93.94400427,70
93.29983605,72
94.30980305,70
92.40494094,75
92.36857788,77
91.82908815,84
93.89222533,68
92.32485843,79
91.97230949,79
92.76325734,80
92.48204436,75
93.24845587,79
92.55626624,82
92.30887934,81
91.44007476,81
93.52680226,74
92.30405076,79
93.32733047,78
92.17609229,79
92.54707864,81
92.0678315,79
91.48202152,81
91.58533209,82
92.3193538,81
92.07516673,77
91.70810107,78
92.23871102,81
92.03230381,80
92.02306311,83
91.81225778,84
91.13777593,81
91.89120956,84
91.33148143,84
92.70402606,83
91.70776317,80
92.35691826,82
91.52327925,85
91.27740469,79
91.26564751,91
91.85416406,83
92.24555213,79
93.31108772,80
91.8848763,79
91.84331129,76
91.27637389,71
92.05245997,81
91.98011029,79
92.1708534,79
92.23983371,82
92.16121835,76
92.64494518,77
92.8333617,80
92.13044072,75
93.8249995,80
91.69774791,81
92.14384121,82
92.39671588,84
91.72153765,84
92.11188724,87
90.91821758,87
92.89526895,82
92.85188376,83
91.41300263,85
91.58544424,86
92.28342397,82
92.29776793,82
92.60089683,85
93.49489533,79
91.50605874,83
92.87577534,79
91.84005633,84
92.24932849,84
91.95378965,78
93.10267649,80
91.91719327,81
92.84922579,81
91.44373888,78
92.78927992,80
92.80222598,80
92.02188354,78
92.55435464,72
92.23255348,75
91.91838878,85
92.67356306,77
93.05113,76
92.20129584,77
92.25707726,79
92.98097048,78
92.28814329,80
93.21122517,84
92.23106813,84
92.81930224,76
91.50774383,82
91.93578621,80
91.47579178,80
91.84138052,76
91.91366862,75
92.16177533,73
92.74301113,77
92.42146934,75
92.21823287,74
90.83680184,78
92.33591539,76
93.69255963,73
91.99755789,75
93.4914786,70
92.99363699,76
92.93689623,76
92.73753567,74
92.7188058,69
93.04794494,74
92.39778806,76
93.33728833,71
91.92036162,73
93.37582461,69
92.88662586,69
92.34964865,81
92.14027877,74
93.07446573,68
93.23222832,74
93.34419479,74
92.56497288,76
90.77126963,82
93.34803433,75
91.77838041,83
92.74963367,84
91.26423994,84
93.46736583,74
93.1734296,70
92.47387201,71
92.5225344,74
91.77499944,75
92.83660106,73
91.25511141,67
92.91443697,72
92.24614018,71
92.68068866,70
93.44588486,69
93.82679897,74
94.69885865,70
92.36742425,70
92.653462,69
92.73342226,67
92.88874093,72
92.96579533,70
93.22550578,72
94.25533469,69
92.55203173,70
92.73256731,70
92.16853707,69
93.56443071,72
92.38017516,71
93.12508599,71
93.2318252,67
92.96109683,70
92.34429497,69
93.40321361,72
92.66218061,68
92.82858981,71
93.17637175,67
93.40272664,68
92.73187786,75
92.12454697,71
93.07555321,72
92.80404857,72
93.20910842,68
92.79884981,71
93.88271794,68
93.18667712,71
93.37257824,71
93.49184699,70
93.7293121,69
93.12611544,67
93.7136563,77
93.13583112,68
93.52141048,70
93.39293678,67
93.27380001,68
92.83261272,73
93.28589089,70
93.64825833,74
94.00645645,67
93.15798685,70
93.03731627,68
92.63517923,73
93.17327453,67
93.84343716,67
91.58904981,70
94.15130827,69
93.72109775,72
94.20591677,70
92.68603189,70
92.92597834,65
93.91236317,70
93.52902647,66
93.84926134,72
92.95914907,69
92.67884097,70
93.67358363,67
92.95761843,67
91.90668431,66
93.14143382,66
92.49788772,70
91.70059422,67
93.0762323,71
92.96283008,70
93.14008466,66
92.95298285,67
93.58705292,71
93.07952843,75
93.3106879,71
93.66304513,70
93.56035002,66
93.23369176,67
91.87957763,72
93.60134748,70
93.21649367,73
93.18234195,68
93.07726435,72
92.01152616,69
93.08636423,73
93.77401954,70
91.91646392,81
91.5304645,78
92.03774401,77
92.06824927,81
91.49798692,80
93.99001396,69
91.48699495,78
92.22355377,81
91.65530554,83
92.18291889,78
91.10313826,96
91.79119299,81
92.64265103,81
91.15237122,87
92.51931791,79
92.73911158,75
92.40531841,75
93.99147356,67
94.15739087,66
93.9557211,73
92.99928966,79
93.48510726,76
92.69453295,68
94.06748593,66
93.90782371,74
93.67620322,74
91.48085533,72
91.59335158,75
92.32324609,73
92.62050911,73
92.36944475,75
93.59228158,73
92.42247928,76
93.34140954,71
93.83831318,70
92.98683961,70
94.24448803,72
94.33730568,67
92.72609106,69
94.70705845,70
92.63115727,69
93.22805327,67
93.78424977,68
92.6606845,70
93.01364688,73
94.0165836,68
94.04376345,67
92.54349819,71
93.5902575,74
92.27903338,74
93.38043746,68
