Scores,Steps
-0.154185481,999
-0.842682399,999
-0.947588145,999
-1.129681678,999
-1.452019784,999
-1.998815983,999
-1.757130521,999
-2.233298875,999
-2.271097503,999
-4.717620717,999
-2.110784292,999
-2.656284252,999
-5.784986382,999
-3.334075136,999
-9.557388043,999
-3.42418728,999
-4.482210166,999
-6.144001825,999
-5.829754986,999
-11.00876859,999
-45.53297458,999
-51.7582563,999
-53.70193103,999
-54.99938474,999
-55.25658948,999
-55.91711789,999
-56.93709838,999
-54.62247494,999
-51.76873769,999
-51.95092575,999
-51.2936566,999
-48.75693857,999
-45.40044701,999
-46.75999677,999
-44.04547208,999
-41.88200809,999
-38.36008376,999
-38.24278965,999
-35.97259911,999
-32.49559885,999
-29.32418629,999
75.60754646,872
80.46948203,644
82.37759954,659
85.62524292,511
85.62168269,533
89.04568604,412
91.14562296,348
84.37834143,553
90.09284643,338
88.73394893,389
90.90410596,312
83.69617244,482
88.21184347,380
85.25424865,445
84.57767488,476
88.05194263,334
-30.90878122,999
65.67459941,896
-30.28119072,999
-30.22928929,999
-31.6569942,999
-31.17486373,999
-30.65106327,999
-30.53297399,999
-30.82419113,999
-31.77325777,999
-32.95959206,999
-34.85679594,999
64.35132254,949
76.3685598,631
-37.08555459,999
75.15506894,652
77.79974563,534
79.79739944,495
73.29198836,555
83.85896911,397
84.80653169,413
83.47500152,345
84.06094888,369
85.87359961,320
82.17500047,428
93.0036006,169
88.7607571,276
90.86912275,188
87.85210546,282
93.13876909,150
88.27004324,317
89.71630142,231
90.94536375,182
88.86241987,277
91.21417964,181
91.42229693,180
93.08490976,177
94.30127131,108
89.96798622,178
92.15778367,188
92.30598218,171
91.1020682,181
91.65872122,177
89.45638348,208
91.78947871,162
92.55251476,157
92.83692945,158
95.578003,83
89.46141754,225
89.50205637,228
89.54355323,184
92.47612403,151
94.89174237,89
90.50356413,187
94.43108389,97
91.73713533,163
90.97886437,169
94.18834347,123
95.07314963,93
93.49163713,139
89.26637247,185
94.08821156,138
90.14399152,172
94.50531736,99
93.03614177,141
93.31479524,144
94.10908285,118
94.60926587,113
94.2647314,92
94.50528774,121
93.60109237,139
93.76936391,127
90.74680989,185
92.95216959,140
93.47899293,142
91.28270418,162
91.05533595,177
92.76576255,107
94.05940522,90
93.89919066,137
