,Scores,Steps
0,-24.92974678817376,999
1,-30.562962153713894,999
2,-33.32207630238593,999
3,-33.37072094711382,999
4,-34.01596621890927,999
5,-35.51526661128811,999
6,-31.970141915999427,999
7,-31.753594483407642,999
8,-34.527247056767955,999
9,-33.62860975228874,999
10,-33.68001659971188,999
11,-32.2801034030198,999
12,-32.990458227957895,999
13,-33.33043417855001,999
14,-32.53330448972363,999
15,-33.23316544992733,999
16,-34.132750239675524,999
17,-32.96157559241099,999
18,-34.083212327105635,999
19,-34.3862501968121,999
