,Scores,Steps
0,38.28861818,25
1,34.36384249,19
2,35.55962638,19
3,39.64837709,23
4,39.33982272,21
5,50.29479697,33
6,36.39989318,24
7,32.46494825,17
8,37.26839444,22
9,35.50588769,20
10,41.30027194,26
11,46.03876851,33
12,31.4290912,17
13,29.04762644,14
14,41.45166685,29
15,35.61190728,27
16,42.95474237,27
17,42.86410085,28
18,28.15392049,13
19,42.04044596,28
20,65.59657432,43
21,43.57630398,29
22,39.64099164,26
23,38.41420346,26
24,33.56817144,19
25,45.58450914,28
26,31.22327894,16
27,31.68170397,16
28,37.05932664,22
29,27.64383029,13
30,50.1230956,34
31,43.47716402,35
32,40.51845004,26
33,30.28132521,16
34,33.83268328,17
35,46.24122744,32
36,41.07291865,28
37,39.798086,25
38,48.42907298,28
39,59.75321985,39
40,29.43869857,20
41,16.07306932,5
42,12.2810357,4
43,11.94785951,4
44,11.83535575,4
45,12.52470742,4
46,16.3021825,5
47,15.29209641,5
48,16.8337872,5
49,16.72319201,5
50,17.0117758,5
51,16.9543698,5
52,15.43819396,5
53,17.04237476,5
54,14.54041429,5
55,16.3749531,5
56,16.12904158,5
57,17.72188714,5
58,18.23378369,5
59,18.62940826,5
60,15.79762053,5
61,18.55581301,5
62,18.56884316,5
63,18.09781147,5
64,18.09549988,5
65,17.93229159,5
66,17.71862,5
67,17.82124158,5
68,17.75728331,5
69,18.33269944,5
70,18.33734311,5
71,17.58174311,5
72,18.10592504,5
73,16.6981862,5
74,18.27108105,5
75,17.34833095,5
76,15.95045249,5
77,18.40324674,5
78,18.01752239,5
79,17.47952307,5
80,16.39148341,5
81,17.24767888,5
82,17.39041856,5
83,18.16968402,5
84,20.18027269,6
85,17.66178404,5
86,16.99179501,5
87,19.44509709,6
88,17.09120847,5
89,17.60679425,5
90,20.01792645,6
91,18.8553172,6
92,17.78020338,5
93,20.22248869,6
94,18.33369466,6
95,20.55257704,6
96,19.14331732,6
97,19.33160355,6
98,18.75597917,6
99,18.70428839,6
100,19.31646372,6
101,18.53767313,6
102,18.62836164,6
103,17.91414952,6
104,18.41794302,7
105,17.97658449,6
106,18.46854358,6
107,17.90652554,7
108,17.90580142,6
109,17.42703646,7
110,21.78577838,15
111,18.84792139,7
112,19.17059363,7
113,19.60360052,7
114,18.57198158,7
115,19.53312038,7
116,18.80800748,7
117,18.10260043,9
118,17.10653553,6
119,18.5726308,7
120,19.70990022,7
121,19.78474783,8
122,19.55779798,8
123,18.54836919,7
124,20.26675037,7
125,18.57473995,6
126,17.51299083,6
127,18.38179557,7
128,19.70801746,7
129,17.98535464,7
130,18.09889867,6
131,19.39620191,6
132,18.38517036,6
133,20.42283613,8
134,17.99045512,7
135,18.18090569,6
136,19.46962138,8
137,18.5325747,6
138,18.46255799,8
139,17.82124557,6
140,19.67360925,7
141,17.52160802,6
142,18.875091,8
143,19.82399421,7
144,17.99203818,6
145,17.23942818,7
146,20.02990699,7
147,19.41296591,7
148,17.79342556,6
149,19.60698901,6
150,19.24764828,7
