,0
0,-176.4352780402385
1,-85.53935421191403
2,-88.15572718917416
3,-41.25303258110046
4,-123.13427665091714
5,-158.11500971342076
6,-104.9706147066368
7,-289.40479806076405
8,-227.0772005687341
9,-174.47901240557817
10,-109.02395357491105
11,-843.9577400356422
12,-666.244359177105
13,-908.4814300112017
14,-1135.5916580071762
15,-437.26902965070883
16,-613.3755878673398
17,-1026.4794086297782
18,-1013.6890880627257
19,-374.03852385051215
20,-714.1518006570634
21,-330.5301607566403
22,-201.01695503553637
23,-178.05677262962126
24,-273.7299482681077
25,-69.05712781143939
26,-161.715957164087
27,2.556831227172694
28,-84.66567672476434
29,-22.884451332903055
30,-146.28365879090074
31,-71.54148777144518
32,-12.886563245255275
33,15.667838467829995
34,-9.779835534108116
35,-155.45288584390966
36,-66.8191422153669
37,-103.88266385902031
38,39.27504008116151
39,-21.91532164825705
40,-69.58512133808061
41,-99.20406909040965
42,-149.95700118758262
43,-107.61408494514633
44,10.464005448865578
45,-167.99660571602038
46,-100.3092896617517
47,-64.7179473298699
48,210.01261105253332
49,-106.20161803061737
50,-11.858634974333938
51,-51.75303900859733
52,10.242437669769629
53,-108.15561204907453
54,4.965885924798215
55,-133.8580915889208
56,-145.25208091965484
57,-187.72973749579234
58,-126.74931523809337
59,-49.27169607001674
60,-231.88358126186046
61,-106.15661087873926
62,0.05225879342529538
63,-186.98662740841155
64,-119.35579256173953
65,-388.11226856752364
66,-112.89156542958958
67,-125.2647035378494
68,-138.76884253144993
69,-260.1034635202926
70,-113.547356597258
71,-166.83145563310836
72,-102.86121473538583
73,-156.25153466633515
74,-131.91507762287813
75,-125.20703545446933
76,-126.32406546443295
77,-173.54226608656597
78,-160.81484902433925
79,-98.77109584923502
80,-194.64900080533462
81,-397.7919204105539
82,-161.6574389786317
83,-186.0733211296265
84,-155.92009258706366
85,-101.97037129765943
86,-83.21764188152147
87,-142.4678816118486
88,-185.47245138449432
89,-127.53190600544912
90,-35.743408503018046
91,14.501672594970614
92,-174.51739170479573
93,-16.83916457130546
94,-158.83505578291704
95,-170.73491686160327
96,-147.5193662948385
97,-128.41523631680275
98,-120.75777003024885
99,-69.02835040409862
100,-150.1032554151774
101,-137.71754753492687
102,-105.18323732005993
103,-255.51848595755138
104,-147.12155352664914
105,-168.1104263209734
106,-149.74419523952346
107,12.874077276436168
108,-101.57830852186278
109,-108.86977656365924
110,-151.73027659300678
111,-143.14005634787958
112,-136.5633777413997
113,52.34623303072908
114,-122.53281759400113
115,-206.58124647410352
116,-118.4632452474221
117,-166.3158076447698
118,-116.00746796128435
119,-154.33251138521427
120,78.68219607700337
121,-136.44953748837042
122,-152.52361017734717
123,-166.80227630299572
124,-149.51378096162745
125,-15.561192891139925
126,-194.50838739751248
127,-176.56238304143307
128,-138.21915259824442
129,-299.08373931274707
130,-144.3317689579237
131,-155.34687507512132
132,-105.62956497630014
133,-141.35155277656133
134,-187.45437799066386
135,-158.47146243357952
136,-218.02797385824263
137,-16.88424182366461
138,-197.80565575606593
139,-122.45235190983908
140,-142.35688891067403
141,-147.7955308467086
142,-113.9697610760766
143,-144.29981177914058
144,-137.39099739903952
145,-158.71836673571798
146,-185.81111452858664
147,-164.8414345321255
148,-166.9257316377804
149,-187.27756600091953
150,-135.44131236250564
151,-4.089869273493889
152,-39.44033459271973
153,-105.84509263484075
154,-166.50897876636117
155,-182.8095875845877
156,-180.40743876351337
157,-199.12513033281664
158,-188.22548501512864
159,-150.59804317588558
160,-203.73463424978985
161,-148.48209086079993
162,-300.2459210021872
163,-153.27330719894235
164,-183.90705152852945
165,-140.4089956211081
166,-147.5366402850704
167,-114.77547959560158
168,-146.1060416401946
169,-15.064651026399176
170,-248.61270260347686
171,-86.44018586265312
172,-139.7539352606061
173,-156.92740562450302
174,-202.9031986570359
175,-144.66615079188733
176,-140.4068677303357
177,-145.91326952575588
178,-158.66568139747434
179,-108.11665653870884
180,26.48487861969201
181,-104.33098328360629
182,-139.34784807972756
183,-176.39012575651373
184,-346.86481286708863
185,-162.38261412509047
186,-151.45245299910812
187,-158.49245162527407
188,-131.99837485990187
189,-151.71349195941082
190,-168.81513379560351
191,-114.54397144285196
192,-162.40739067445372
193,-157.8036114218997
194,-131.95332427640432
195,-177.48307682151844
196,-171.92255438149354
197,-121.03891595833335
198,-83.73898864560715
199,-169.1538783164225
200,-140.82762302151815
201,-124.8314225987466
202,-131.91437808669752
203,-194.00339427383022
204,-135.55076690508614
205,-54.45604826439027
206,-156.00391391167952
207,-225.91168644687951
208,-113.91274004272134
209,-148.35087483594668
210,-126.54902105164402
211,-156.49846640263894
212,-266.00424050580597
213,15.060016573996322
214,-136.74592515672538
215,-122.1077161022063
216,-192.86186439995328
217,-153.09580928575622
218,-171.59095782076025
219,-5.271548031649772
220,-160.02382294857497
221,-132.2275184505366
222,-22.74216840190138
223,-10.38478202425452
224,-223.99171289718169
225,-131.09128943620186
226,15.761255647738992
227,-167.06922648343587
228,-186.50009796091712
229,-93.48883380850725
230,-173.7644199344625
231,-161.06159094723517
232,-120.72978081809796
233,-127.00437047600147
234,-138.7563627244437
235,-127.84802621651039
236,-188.87954258979806
237,-181.35027901658756
238,-153.73733011194824
239,-88.79249464754966
240,-167.13165173539392
241,-124.66668297632569
242,-298.6509283901086
243,-25.185429502795188
244,-411.5599550125661
245,-152.47255188147872
246,-156.8157559319696
247,-205.57634548946731
248,-110.733932141017
249,-156.88184249232233
250,-134.27901664016284
251,-332.49561193169916
252,-170.62508234504338
253,-117.24308824450526
254,-135.467777468244
255,-159.90280372045498
256,189.31562014271384
257,-164.9391310974002
258,-117.2019388845532
259,-218.6613903904044
260,-117.7887702696255
261,-149.8131363940729
262,-132.30882849664346
263,-175.62675154438782
264,-133.2684403698753
265,-104.96190077037949
266,-119.74903534725354
267,-129.69956758486055
268,-248.95946659705098
269,-188.38096873697947
270,-163.1612030743631
271,-233.6495468147612
272,-275.4537913752747
273,-170.90196137260762
274,-186.1362484328088
275,-88.13848729043721
276,-191.39768622033756
277,-138.16175278889438
278,-213.76318983103852
279,-228.7026978258861
280,-33.1036796154508
281,-51.82333537061413
282,-190.17771335080548
283,52.967948293914446
284,-104.2517859045847
285,-202.12713260602334
286,-244.21073034964027
287,-154.63595108647368
288,-251.76117334749716
289,-223.24919901667488
290,-81.68432876885242
291,-241.4749728387045
292,-154.34415516167672
293,-205.3719238868992
294,-132.67001290431352
295,-154.2097650079562
296,-27.089197842104483
297,-220.68606680464845
298,-191.15516485839646
299,-158.55223723957315
300,-266.3551732107683
301,-239.97377321290725
302,-68.81121500920086
303,-207.90582146921477
304,-228.87576337778236
305,-97.55303761918212
306,-291.62231152194573
307,-280.17942766921857
308,-210.69321012052728
309,-113.91610743245815
310,10.070348597631735
311,-213.24169703249044
312,-246.331521053926
313,-263.67582270452044
314,-124.93911421279972
315,-213.53852128648816
316,-125.76547580526045
317,-233.880660571522
318,-172.5027270667145
319,-400.98410768689115
320,-210.48344077109175
321,-224.5526038252376
322,-253.70932762250382
323,-157.10661788996825
324,-235.0328811790008
325,-216.6445402266047
326,-204.8705775333002
327,-243.69608796307153
328,-234.11349935650355
329,-143.916066682779
330,-209.67265494743745
331,-225.62679543668008
332,-116.25316484907908
333,-261.9107314950726
334,-390.9682858696836
335,-76.54538856728725
336,-106.33418397450362
337,-225.80480234072522
338,-245.06085363498275
339,-235.11899971274454
340,-36.24724895020874
341,-227.9319865603602
342,-199.44298523165156
343,13.725975279397275
344,-224.83990620345742
345,12.127326708018217
346,-113.79737948368313
347,-182.99665844379138
348,-161.8148686947223
349,-52.843907920865405
350,38.17992438956415
351,-153.99652093875733
352,-146.6489246785958
353,-304.1570401622597
354,-192.59479091651485
355,-148.70982607779752
356,-180.31433713805865
357,-87.21305211621139
358,-140.69346175456354
359,-177.79309609349212
360,-187.77843794212183
361,-153.97614068653417
362,-175.93564743064945
363,-94.93642425004154
364,-96.43434473205508
365,-113.74964940272457
366,-173.51362320087458
367,-314.86965858482296
368,-147.50592038591543
369,-195.08134710217826
370,-73.34233314118208
371,-140.46292741752032
372,-163.85144582219328
373,-129.37025875800785
374,-26.658021138254384
375,-108.49930321556738
376,-144.55606539021454
377,-189.53324847461698
378,30.56181189892345
379,-134.543781602728
380,49.89046294285612
381,-7.650462169609881
382,-181.05812963785178
383,-144.36368598990856
384,-261.0651732744769
385,-122.98594254312195
386,-146.202834049994
387,-120.60471579811157
388,78.22584131124398
389,-210.35542969808512
390,-180.9497289920953
391,-124.18625738209273
392,-107.02919077470102
393,-231.2941264942681
394,-150.84747478456018
395,-123.18885827298479
396,-114.90658039137519
397,-154.57904532986356
398,-176.34162494006318
399,-139.52096383251353
400,-168.34292431653816
401,-192.2343991531698
402,-30.65659324502586
403,-100.37436108759512
404,-177.41354322053616
405,-205.22003207772258
406,-100.86667834181577
407,-118.52758147749194
408,-148.97685360306804
409,-49.58533038338829
410,-194.57714166484604
411,-112.80246384527366
412,-122.10431158806513
413,-30.738262187241943
414,-198.20680421090597
415,-111.29867573141473
416,-67.45008778910619
417,-17.82536035153882
418,-171.74786224894646
419,-25.368048164044666
420,-128.68202189078798
421,-87.24899043581806
422,-109.9705267634624
423,-49.23910774868658
424,-170.77379049748987
425,-45.54998596121319
426,-91.02714420722047
427,-23.19275629647848
428,-53.64488648992824
429,-121.7991291716575
430,-32.22274798742893
431,-200.46167406401486
432,-30.054353147256037
433,-20.146437428009605
434,-72.47563902159526
435,-44.86965038213731
436,17.520872541633906
437,-128.3299978598313
438,-154.88539096589108
439,-196.35039197362124
440,-33.46665208175945
441,-10.59629879373908
442,213.57120550014207
443,-24.834941363511987
444,-147.88836926867523
445,-222.19991937361124
446,-86.96803139281316
447,-82.11774064199079
448,-97.4144014453743
449,-69.99588999418926
450,-158.57611993889168
451,1.3918377658012702
452,-13.697145068859953
453,-83.72354429245888
454,-128.99183454955582
455,-66.95911484630355
456,-152.9831132948588
457,-141.7784282357473
458,-47.083674254440965
459,-134.5695547864419
460,-175.16704365541364
461,-194.37415437472112
462,-16.47140430487525
463,-113.65115944709495
464,-202.69178353307697
465,-129.3884245595362
466,-87.0087421388862
467,-175.7144436477276
468,-77.21948982818208
469,-64.38971794252376
470,-157.8551479966393
471,-102.67595138485657
472,-166.44071063249672
473,-163.17536020568153
474,-117.46202556772937
475,-32.72358920118046
476,-162.2742288168375
477,-149.95974717205013
478,-124.64053972758663
479,-163.26400147065453
480,-40.979662101520475
481,-204.3755377978615
482,-38.750351835879776
483,-144.92089961296767
484,-174.82137404390716
485,-94.6788629921144
486,-134.98777520088137
487,-24.30205968773538
488,-132.51805979254792
489,-108.88012703865519
490,-124.73218888999543
491,-217.14120803656107
492,-76.20935543841087
493,-90.33994742969881
494,-24.904344370048662
495,-109.73451072055747
496,-143.97441745248994
497,-208.10605128183036
498,-25.812585318570413
499,-170.3868185345546
500,23.397642115342634
501,-30.790321081903286
502,-168.67970337965073
503,-17.915461375265153
504,-171.0102854404331
505,-151.43513547792355
506,-228.56270601359117
507,-161.00646526609984
508,-149.2920846331666
509,-126.08390152547268
510,-97.31731528402155
511,-113.68321364503576
512,-94.36637526420603
513,-114.68430987813701
514,-95.13872032194355
515,-124.76422496434297
516,-82.67613493156821
517,-141.32770404022713
518,-163.16213805079258
519,-226.7410199397753
520,-111.19835929314391
521,-157.42289059248313
522,10.100341044764235
523,-106.47499434295969
524,-149.22858093131748
525,-136.70511058388757
526,-83.65896993657228
527,-127.62573249433125
528,-123.9013622157967
529,-142.53685695165626
530,-126.80984152269974
531,-135.986735771797
532,-183.2595927942195
533,-142.9429314690604
534,-63.256232402663805
535,-46.458416501699475
536,-105.0046092070968
537,-141.69709098558457
538,-81.12377722267797
539,-319.9674235147969
540,-146.07207797541173
541,-88.88039441136517
542,-125.08830864533428
543,-176.06431535506826
544,-82.6356868566696
545,-77.85404789455703
546,-115.28895312588264
547,-164.25819921721333
548,-164.78109660973956
549,-97.59093448960111
550,-95.70992970149456
551,-105.9368554551726
552,-102.87577227656702
553,-140.9501052307577
554,-133.68329929387994
555,-177.33644422496667
556,-54.402536660741234
557,-97.1225611598184
558,-163.11822978328968
559,-139.76878177561107
560,-66.17189427753678
561,-138.26279174259386
562,-89.17417424577579
563,-62.04609549599637
564,-101.62365271895035
565,-132.99530177777493
566,-139.36941990393137
567,-125.25853612726037
568,-137.76106354956795
569,-61.08034916825191
570,-128.65587498035532
571,-144.5190373872253
572,-70.90465641719072
573,-122.74224443509931
574,-99.39847623121128
575,-111.25895453541432
576,-20.46060995021405
577,-167.6499794909517
578,-165.0595787619315
579,-33.18143201893386
580,-208.6324515294024
581,25.85467916464532
582,-48.8079044214509
583,-96.9749806773634
584,-80.35934218671159
585,-172.96456103195615
586,-90.45619899847439
587,-69.32094240496622
588,-122.81944281976675
589,-131.37485627470022
590,-54.87700972508826
591,-144.51426585600043
592,-163.88963339056477
593,-87.56430884999327
594,-75.36727377784553
595,-94.48853239055882
596,-138.61671315987547
597,-161.71906844170124
598,-80.74428343385846
599,-124.368221089056
600,-129.36379419165723
601,-113.68338879375877
602,-279.0801855961623
603,-127.44210889455786
604,-119.12499416785732
605,-151.34312565462125
606,-142.11469806213591
607,-152.8844565057704
608,-110.10515155826513
609,-168.51647123212473
610,-116.3908721985892
611,-167.22244982467788
612,-159.73859550761523
613,-89.5841705132618
614,-117.39562324929237
615,-108.23355644906835
616,-94.33617788350222
617,-132.72739954387197
618,-262.89461408351644
619,-108.87175058041585
620,-205.82161251150572
621,-160.60134966248302
622,-105.55732358409854
623,-140.55486213796806
624,-147.97596632668692
625,-85.25960915323508
626,-155.20293341114493
627,-92.59414144306926
628,-59.94623460284472
629,-98.5240483350709
630,-173.20008581532898
631,-112.31979744022206
632,-132.12065829906953
633,-140.59156466301994
634,-163.28109643218386
635,-38.737654689027075
636,-94.88623661239372
637,-179.47246920173393
638,-107.94132203024002
639,-155.63140453365585
640,-272.3337341864764
641,-133.1767276526482
642,-150.74426085045525
643,-126.32364619893616
644,-112.96534998837643
645,-130.33164688047896
646,-124.94176163113067
647,-168.02336736482937
648,-150.5333465308134
649,-177.45585067320738
650,-164.47713575479713
651,-113.251110228993
652,-180.41317769801066
653,-136.32875620581862
654,-173.9076654793933
655,-155.51532939921202
656,-176.17579217335646
657,-204.3361922483416
658,-165.70066855244397
659,-128.1231128164049
660,-34.57268291698071
661,-128.72473520208118
662,-136.9509470691343
663,-149.30719833728006
664,-93.8238312796099
665,-115.37794765155311
666,-103.57945861637353
667,-159.48056703787597
668,-127.65633401741124
669,-128.46452243482372
670,-165.73844573634096
671,-147.8681170286655
672,-131.1495483707495
673,-105.3726566801841
674,-169.97534246617744
675,-103.00722538933651
676,-153.4625814720454
677,-175.00284366903844
678,-142.74125907375276
679,-156.24926305121264
680,-119.62551425114077
681,-135.86295987521993
682,-144.70828918913708
683,-178.52108129448376
684,-156.06759998418028
685,-136.80712300872557
686,-130.1327190347335
687,-135.94320989414382
688,-135.2656032834962
689,-140.41702191966556
690,-132.55625526535914
691,-118.44482404969213
692,-187.34402515376144
693,-126.67911351727646
694,12.611719070620993
695,-169.22823429042785
696,-171.3679953692584
697,-162.3808808550185
698,-162.7012323061177
699,-119.55666279615359
700,-168.51265577514607
701,-116.85116286351554
702,-158.26392853707338
703,-137.5717289821423
704,-163.65800400088844
705,-163.50428687199638
706,-135.20764710483616
707,-148.73459432282493
708,-146.44008770940684
709,-166.7848830374582
710,-144.48077822845528
711,-128.93978211219587
712,-119.777828828812
713,-175.31108106221336
714,-150.77715438283536
715,-196.7395651899482
716,-127.00743137494435
717,-71.74405832354883
718,-122.43759787416819
719,-134.85953108237612
720,-116.13064346018506
721,-144.47434285048405
722,30.776794783962885
723,-123.60269538381596
724,-121.62919825519852
725,-174.96215101711255
726,-94.64519234671567
727,-207.5255276811324
728,-126.54250291337966
729,-110.82581509862547
730,-85.03280631789693
731,-103.64179573739993
732,-124.83323605618723
733,-146.5541171328486
734,-196.9296420221054
735,-122.24728381538598
736,-147.8709324919181
737,-92.18060020721828
738,-130.24393569269796
739,-134.6538330154095
740,-138.36740025217745
741,-130.92527310919553
742,-157.93238809650435
743,-163.50054324905736
744,-123.18583205950864
745,-152.95222349870878
746,-149.09419450674756
747,43.66126564039112
748,-153.89787410043783
749,-178.93049524709159
750,-151.37690877278632
751,-125.12005094879646
752,-111.41325110189766
753,-160.30452646514115
754,-144.35753441503428
755,-149.46020404130266
756,-136.23745665647004
757,-151.05147665341408
758,-149.06097371398909
759,-158.48835754738388
760,-156.20819575542305
761,-136.98542992784917
762,-143.21366016401726
763,-147.26934289244505
764,-177.73842899253725
765,-143.9346340349618
766,-157.78132157924892
767,-107.38967326247179
768,-173.6564858933964
769,-5.272533159729306
770,-156.69186883412635
771,-148.21821191531876
772,-137.1534562948262
773,-152.64185936721316
774,-157.91961180343563
775,-13.511940373561544
776,-108.63263267360492
777,-129.07312353070992
778,-144.16049721457722
779,-166.38165681812637
780,-153.54851030383787
781,-155.64557784338746
782,-153.8360887301937
783,-153.12142725236004
784,-154.12294093115662
785,-141.85358967831127
786,-161.92878032402115
787,-192.07017133538105
788,-130.03863901338616
789,-170.5406809019693
790,-143.88322637929178
791,-145.48479224064363
792,-107.72288854550006
793,-136.36675150156458
794,-228.64661543761426
795,-134.7102918736881
796,-107.65224118367479
797,-172.05721127495286
798,-134.1438305706588
799,-129.60703967304414
800,-154.34651119117493
801,-153.73677989841164
802,-156.31849190662945
803,-153.78918217313353
804,-126.26988162166438
805,-163.84428065833137
806,-194.59758463853
807,-146.9564662701274
808,-127.31469210736458
809,-118.05565930130368
810,-160.76835235803017
811,-143.1213201054245
812,-188.62499767426158
813,-139.00837067293477
814,-187.99936249090374
815,-177.5159045765525
816,-146.59211596401022
817,-296.33999578834346
818,-131.02825485376846
819,-160.40877648657
820,39.81222303052317
821,-147.12464938574823
822,-184.60017208508296
823,-136.43379764191266
824,-145.84742821546064
825,-112.77085461065735
826,-164.03763849360797
827,-119.33745620011145
828,-110.45070362513394
