,0
0,-0.2006895172487847
1,-0.42339236078114034
2,-23.476943177006262
3,-31.324859452921338
4,-34.52225271195321
5,-35.75587567756667
6,-32.79566714321049
7,-33.44620186521632
8,-33.289739419207834
9,-34.746272254380116
10,-32.60417187752569
11,-33.22409321852276
12,-31.195041021739357
13,-33.76587669090946
14,-33.06380400706075
15,-33.97502997680099
16,-32.54230703650556
17,-32.70855651352106
18,-32.02573395610665
19,-31.96118297390171
20,-31.265776872990322
21,-32.82727046820357
22,-33.26222417772879
23,-32.1398607180017
24,-32.30774892066304
25,-33.08738724347727
26,-34.075071671356156
27,-31.30588339942779
28,-32.7005493442697
29,-32.144177662276206
30,-33.22244870485934
31,-31.674022346726233
32,-34.52226365217448
33,-32.42035037114283
34,-32.63639575599588
35,-32.51517932449814
36,-31.642341272018015
37,-33.9050524168399
38,-32.008279145943945
39,-32.60361070297339
40,-31.851245008365687
41,-31.909016026002547
42,-31.785875616539897
43,-34.0180588095975
44,-32.4757004761429
45,-32.35456299857328
46,-31.62634106220233
47,-32.07846714285632
48,-31.21978635485693
49,-31.79787595185293
50,-33.835312571575145
51,-31.846667460612473
52,-33.686842633245625
53,-33.711029193067475
54,-33.17118170597088
55,-33.78530488979704
56,-33.98066892251767
57,-31.590562947533584
58,-31.886091686707502
59,-32.73160314178862
60,-33.16309318790777
61,-32.549777941467994
62,-32.539279700150516
63,-34.124739892101374
64,-31.0476080546369
65,-33.90299350408978
66,-32.20033384752263
67,-31.70785811455977
68,-31.924447683569806
69,-33.41041428746509
70,-33.760207659388364
71,-31.68754248003293
72,-32.76407621089748
73,-31.429385211951022
74,-34.70074919654557
75,-32.19934307630286
76,-34.06735130150272
77,-32.0427788057485
78,-33.613299749768224
79,-33.28320928048398
80,-33.00567348063396
81,-32.022554548657
82,-33.73892207374943
83,-31.745258171338495
84,-33.70746328526303
85,-32.25091685306466
86,-31.45234823296297
87,-33.66011958792169
88,-36.16875257857416
89,-32.49259513267464
90,-32.76504745644506
91,-31.17979105377485
92,-30.694716325650226
93,-32.533624158663976
94,-31.208328631220585
95,-33.080331414005855
96,-31.755075258286354
97,-32.5564702857125
98,-32.533622018700726
99,-33.03088627528986
100,-32.63775502214801
101,-32.51279233474118
102,-32.87255567503936
103,-33.06855255890368
104,-32.591563043879894
105,-33.59614296180344
106,-33.98703055382757
107,-33.811884373704196
108,-33.81384315089014
109,-31.96015884634874
110,-34.20601235401845
111,-32.44996125508848
112,-34.100514689775544
113,-34.77817674194117
114,-32.460528953506866
115,-33.448098758758306
116,-33.72524057237826
117,-32.545002231392374
118,-32.35953702651238
119,-32.82934909585881
120,-31.85515052523776
121,-33.23140298726726
122,-32.951942225031395
123,-34.385371118174234
124,-33.38759795172278
125,-31.817608473195342
126,-33.62332910257716
127,-35.084863836569085
128,-32.73229204094898
129,-32.30848920275448
130,-33.297673672390516
131,-32.95655262168133
132,-32.9798500131754
133,-33.52419615624002
134,-33.539964714737565
135,-32.62273667956868
136,-34.663862143134054
137,-33.58546064248917
138,-31.66301472491676
139,-31.435668058266177
140,-33.26285855272857
141,-33.69505802052815
142,-32.63556768574566
143,-33.19260525769496
144,-33.848503037303104
145,-32.48575736457756
146,-33.687264257560685
147,-32.39597243447624
148,-35.22427227387145
149,-34.43472550685054
150,-32.35168842895747
151,-34.01680750822522
152,-32.66697286011773
153,-33.07630582813927
154,-32.267813187847
155,-32.707080938214986
156,-33.05587805340806
157,-33.81449955386193
158,-34.212002899928414
159,-31.593893268364557
160,-33.48395308367249
161,-32.54888093923159
162,-33.052925430967036
163,-33.81318765034502
164,-34.058428211747774
165,-33.45094014034728
166,-33.71545299283253
167,-33.30219759997051
168,-33.170332788744204
169,-33.56415787421118
170,-33.86323186014875
171,-33.2746230761964
172,-34.97409701111358
173,-33.34276420870263
174,-33.49185347443406
175,-33.69767177945641
176,-32.52893405606593
177,-32.54441231065787
178,-34.11967445484272
179,-34.331569691076965
180,-30.79892891251876
181,-32.174683136721875
182,-32.197147804911076
183,-33.81702783661984
184,-32.6504500248075
185,-33.140850558130595
186,-30.37665994798665
187,-33.88657840618286
188,-34.22086070599932
