,0
0,-154.79019095179333
1,-559.7084601217944
2,-288.60493960660256
3,-199.318619844686
4,-141.26284534251226
5,-134.32005814899935
6,-116.28110102582895
7,-96.44953177589097
8,-453.37128433166015
9,-260.2439828745057
10,-372.67347362647763
11,-284.86814727247133
12,-285.76862872855986
13,-314.0162782499638
14,-552.725940492923
15,-642.6802424689595
16,-695.0553980919155
17,-521.8186749782548
18,-402.52792049682915
19,-458.02154044426885
20,-631.811619951605
21,-777.7689644280795
22,-516.1807544778803
23,-716.5745205806193
24,-483.6378625050902
25,-367.6698241648435
26,-932.3129200059948
27,-939.0499142746314
28,-519.1292763235832
29,-346.04277297344595
30,-375.3584147819162
31,-654.2643126534708
32,-496.6942216393861
33,-731.3547414218084
34,-603.3007318830689
35,-740.1682340167291
36,-547.7859647390071
37,-887.2045839698579
38,-423.9003579556314
39,-123.25134099255857
40,-229.8110049557645
41,-170.13400707419126
42,-123.79101249251129
43,-155.1002638384876
44,-824.7867074543915
45,-443.82788266284837
46,-725.9913968293599
47,-699.5056480831374
48,-521.0931804147523
49,-448.582036284904
50,-540.7050329038623
51,-555.1586790702061
52,-432.1671443230601
53,-482.68535759015737
54,-546.3421990853452
55,-483.25958682547946
56,-489.4624871946164
57,-773.3651659247275
58,-767.1335931663766
59,-447.9836301106028
60,-638.1983673300383
61,-485.09801799501406
62,-546.7517138591172
63,-330.7814547211724
64,-526.8526214096754
65,-388.56072808176816
66,-389.49782490967095
67,-145.82301596532034
68,-225.62820632464292
69,-260.7741358569159
70,-739.1083667680351
71,-602.6065706959231
72,-932.6926309582461
73,-1002.1305527099635
74,-833.653604607218
75,-700.7036267652129
76,-747.7858053132833
77,-215.46919219412013
78,-475.58551695787116
79,-451.9319725331805
80,-485.8789148793854
81,-372.29422968905516
82,-370.72412175482566
83,-418.2476125574746
84,-488.93879604817516
85,-472.7605554517856
86,-405.5913419436441
87,-426.5376415126489
88,-299.61262098952136
89,-558.5229783969604
90,-452.59378595853417
91,-625.6205550748708
92,-386.2918841266393
93,-526.9226738671172
94,-495.54167173682634
95,-344.89261684105816
96,-275.88467753717316
97,-179.3852002681241
98,-585.8231739876874
99,-433.2088661196652
100,-556.7371992991391
101,-608.5616717192346
102,-522.1736966749252
103,-557.378354821398
104,-652.3074849528513
105,-408.7814359340192
106,-573.962194831704
107,-348.7487289704685
108,-443.33871842297276
109,-436.50716224014053
110,-461.68775664186353
111,-499.8221615650939
112,-436.5183463030313
113,-459.60548639957307
114,-559.6575817650391
115,-573.2255839068894
116,-401.0219667591576
117,-475.97738427200227
118,-646.5630176723481
119,-470.54592709797294
120,-163.25694053344273
121,-156.90845154363578
122,-173.73751575160503
123,-137.31478110664452
124,-156.53075485908826
125,-164.60802556241313
126,-160.61859288368328
127,-155.2830206521393
128,-164.91465131999695
129,-136.42642421362075
130,-115.96537497251745
131,-175.70182175164834
132,-156.22405836991746
133,-105.27370932228158
134,-151.7914074766372
135,-145.61543756432224
136,-155.58661254536986
137,-146.35939033340776
138,-222.65874979465852
139,-188.24809445355515
140,-149.34363405547083
141,-214.8736383341366
142,-250.38358612912958
143,-123.80069718248546
144,-166.37070777138777
145,-225.49164314923345
146,-199.62607820276202
147,-312.9936084518688
148,-106.1596389206637
149,-419.52901289148224
150,-390.0828095099771
151,-186.3156859821238
152,-275.49955200548095
153,-181.91282559851794
154,-257.0936919327142
155,-336.2574745158711
156,-342.9109049055803
157,-333.4313665532329
158,-441.5382834097102
159,-307.78872871197393
160,-361.0823868256148
161,-270.4086436418846
162,-324.5505619358845
163,-183.94211950745614
164,-243.15590100559191
165,-227.80170266610318
166,-224.5533150992062
167,-221.80505979557222
168,-469.9377856133466
169,-419.16273725254956
170,-553.1010752706823
171,-478.75831909560935
172,-291.8045645279564
173,-214.7877952718183
174,-550.3340315161836
175,-828.7818698820801
176,-574.9799039963203
177,-467.5167038503371
178,-418.34014442890947
