,0
0,-36898.513092659436
1,-1375.3986437104156
2,-1697.9172923974481
3,-924.3966658720118
4,-955.8524814558785
5,-2617.5269140905953
6,-2544.7277887348837
7,-2546.0734850280032
8,-190.270685954427
9,-50.58812635855179
10,-17.844054552598926
11,-27.239200967188467
12,-29.0396453443877
13,-96.12868133050398
14,-127.49743582659924
15,-187.12033647282493
16,-360.0508028836211
17,-351.3046174964675
18,-368.71710456560936
19,-353.7126575500617
20,-191.13203719870472
21,-433.5867704124262
22,-282.116036556094
23,-268.6126471973075
24,-464.57757955707064
25,-290.13514154706695
26,-303.82887269891575
27,-343.0330489449878
28,-247.89108070250887
29,-332.57145781548917
30,-271.8561371822443
31,-235.76424150651292
32,-195.6522009646953
33,-225.7286226999063
34,-228.21106818142766
35,-156.26950188748071
36,-142.41037610686783
37,-4863.491324032272
38,-2824.9855089238554
39,-17.630518798015803
40,-220.5596742614941
41,-169.12880331265285
42,-3.3214929321393383
43,-5.45095441607336
44,-9.02632707918938
45,-18.49601962240597
46,-3.9347954924087296
47,-3.3196749304088984
48,-4.805464307634938
49,-12.194816342201033
50,-2.192304773982653
51,-1.3028367497564979
52,-0.8442447785272392
53,-1.5030385348961297
54,-22.58266455489546
55,-218.72415267645655
56,-301.03494660785736
57,-283.4929283707356
58,-426.6227138609997
59,-2486.2375160176625
60,-1078.3988985677274
61,-733.147057325506
62,73.67995496794767
63,-812.8571476460978
64,-780.1570441205705
65,-219.45112540790453
66,-304.3767320648072
67,-377.3888852444265
68,-606.6747896180932
69,-1567.7242632905325
70,-22502.76562719612
71,-20.789113575553884
72,-20.176523610501487
73,-21.02578373108987
74,-17.642668827990256
75,-24.8634313233982
76,-22.593440256297413
77,-25.792300543432958
78,-22.650908151920504
79,-7.183131451487732
80,-17.37067345559182
81,-29.03431627287561
82,-23.46217164882169
83,-33.343692509701725
84,-19.5033729476918
85,-43.3104331382367
86,-55.1111029463784
87,-20.763582230683078
88,-24.297701867626905
89,-19.81652944850111
90,-36.37303597737763
91,-29.3922167134885
92,-25.554652768033232
93,-17.62695224431114
94,-60.22238270754712
95,-31.24274202987227
96,-36.420740529887674
97,-11.143379759697066
98,-17.67892007978994
99,-36.334367769820844
100,-16.65862937823092
101,-6.3113809593236905
102,-43.69690409749415
103,-258.2638894190183
104,-814.7715755227521
105,-2063.175535089635
106,-4996.8841282744825
107,-560.057347071095
108,-1468.8012584112914
109,-361.9419930069401
110,-382.7042315683242
111,-1051.6966579391228
112,-575.2353727389711
113,-835.599471065898
114,-507.46387265279026
115,-537.9458924221254
116,-691.003470302574
117,-1344.0712265313946
118,-16.884267366597363
119,-18.865095666781148
120,-39.025149549699414
121,-26.846049736392423
122,-14.090968974498734
123,-44.575317756054254
124,-42.661862031722585
125,-35.907718764211715
126,-37.09474506807206
127,-44.89101179555161
128,-54.67927090628157
129,-24.014501149733835
130,-17.227761310679103
131,-19.37784558290876
132,-50.2677252355431
133,-26.690249457669687
134,-17.73001243347829
135,-33.94906379768011
136,-8.566797265377197
137,-19.11130834027344
138,-35.816274296448576
139,-4.023618315932271
140,-29.836136765984588
141,-33.56904168556892
142,-29.362109048151627
143,-10.292130701300733
144,85.23785520180407
145,75.00280389834825
146,-15.904418996712199
147,-31.85521780455586
148,-389.1909585263715
149,-108.13382200943967
150,-12.443429341805937
151,-251.45256278008586
152,-194.20148769111245
153,-198.36976871342443
154,-485.4689173902074
155,-63.64620491996081
156,-94.01018440077144
157,-384.0580192237364
158,-300.2907622984804
159,-783.2038679346912
160,-743.4227202048946
161,-763.5525441202352
162,-110.00658180772062
163,22.63488911328392
164,-146.48563600309217
165,-350.92586104117123
166,-446.31160140625406
167,-33.97452399056919
168,-6.089019918306765
169,-17.03793721347029
170,-19.21357227700808
171,-17.872836742511723
172,-29.897516984212725
173,-34.02841255006189
174,-9.765581787097192
175,-7.194523919602702
176,-81.40353720219473
177,-17.273590779636297
178,-222.3915795270516
179,-204.50898249175336
180,-280.4173550713159
181,-399.5628478646478
182,-181.49579148470565
183,-26.110235542205377
184,-2.5582041289162794
185,-1.6956943568444272
186,-2.248215311072078
187,-936.4381365053459
188,-27.5621116063879
189,-33.14295487212253
190,-23.28587028446423
191,-28.867939702089423
192,-27.623711095920594
193,-35.18313884575118
194,-40.001777019733694
195,-69.80577698730322
196,-147.39006235695476
197,-121.43570335767424
198,-471.8430201741875
199,-616.2080454403356
200,-606.6957405826015
201,-371.9180472653912
202,-995.4814219166816
203,-954.139156841977
204,-405.055701659649
205,-296.7805714754222
206,-150.03664619580516
207,-6422.357032780036
208,-35.3188860058707
209,-24.24299017231674
210,-42.622588105307436
211,-32.21602683323891
212,-72.55306259962961
213,-47.095075798820154
214,-52.8232628829614
215,-50.58591565724987
216,-42.91554496080741
217,-51.38063944753269
218,-35.60566831965069
219,-48.81712261280018
220,-82.81779593725108
221,-716.0686428835229
222,-1311.404421018033
223,-1088.9622659212605
224,-1009.3208533592434
225,-850.9066859960831
226,-944.8322685073059
227,-1543.4916737788574
228,-171.78719627520678
229,-221.80901949865392
230,-324.0990764549923
231,-1343.3621912401932
232,-1833.2228942975194
233,-1372.5744023053196
234,-1444.3827375645833
235,-1221.399308510159
236,-1638.3328009541553
237,-1716.1507544889562
238,-816.753399385298
239,-1473.4275784395777
240,-464.1934038719435
241,-808.6742763716322
242,-477.8743431600061
243,-1094.6746101236743
244,-367.5663507615052
245,-150.40559595970075
246,-1934.6758784745316
247,-917.3186860744702
248,-526.2851566849486
249,-322.51921861959056
250,-205.85243115428725
251,-176.79524593228894
252,-186.573908857971
253,-168.41855201194087
254,-58.04255317341952
255,-15.318636362890489
256,-11.533154072219997
257,-213.91527888779603
258,-187.9356096466696
259,-175.89346610568583
260,-57.21234450091312
261,-25.300122792553786
262,-152.48076566559
263,-35.806418181038936
264,-37.33409747797481
265,-285.4371204952804
266,-592.191155845293
267,-339.8671834003601
268,26.987963430163305
269,88.47552415690896
270,82.35315730425229
271,86.50150545932168
272,92.70896477978103
273,-55.65404692416855
274,11.969110133532126
275,97.82471007239995
276,95.01887147395857
277,41.69885140566328
278,-28.225322263313647
279,-273.3490456724566
280,-854.5086745281191
281,-630.5407324423238
282,-538.6514374847895
283,-747.7755569592787
284,-20.81470624048668
285,-57.69575695008363
286,-8.90677237599303
287,-7.852478404261388
288,-2.660002774567084
289,-18.33658303346398
290,-11.036969763215952
291,-71.30362722598834
292,-452.0353237352905
293,-1232.0901959160317
294,-300.53992537057746
295,-214.285043880094
296,-299.91269987461266
297,-912.429433789295
298,-2728.532029732188
299,-1533.9734318048427
300,-823.7955162641098
301,-501.15571653598766
302,-1417.2953470389546
303,-1114.91106764647
304,-320.1697925775604
305,-595.4446183698109
306,-603.9413714604171
307,-51.441984495697255
308,-97.68240283419087
309,-60.214816351723435
310,-79.27073795094148
311,-26.36977062187489
312,-12.30277293148186
313,-999.4166456687666
314,-13.735025039205906
315,-128.7578807879915
316,-115.65437011106171
317,-331.58939793267723
318,-1536.9544836998334
319,-1549.5806077635416
320,-1145.948923537709
321,-1325.5538633822714
322,-1686.9199165785785
323,-1139.6978905596543
324,-1303.5508329661989
325,-516.8322314178645
326,-680.8066948638159
327,-1231.5946644165047
328,-1216.0999972944558
329,-973.463007991956
330,-1247.8100229902448
331,-158.69466602984303
332,-75.45254353865724
333,-89.80857907774455
334,-3359.6249645065363
335,-261.4696476845735
336,-396.74200558474587
337,-199.53116712446098
338,-86.76512390837689
339,-75.51261708152968
340,-69.90165374825709
341,44.69967295518347
342,-351.6608039831638
343,-20.028284129470215
344,-71.18169026989163
345,-24.018555597169005
346,-22.934974820440985
347,-26.798713133589068
348,-18.71828026261916
349,-63.92996488294895
350,-281.05493773404453
351,-275.21641222776805
352,-253.8131670644264
353,-374.1118398002348
354,-10184515.906266548
355,-229358.94508403915
356,-3.372573690859236
357,-1.7936055803363702
358,-3.383301972083278
359,-0.8983666511130332
360,-1.076581525289034
361,-6.5122035555422935
362,-17.2146306220428
363,-65.02680741157468
364,-36.233986831667394
365,-80.94735749553303
366,-189.14093209202284
367,-260.70933949559577
368,-8301.362645538296
369,-46.43711449815595
370,-22.996854990029075
371,-23.111081364770506
372,-3.8679532737021716
373,-1.2724832870652318
374,-4.022264071153466
375,-57.2171542112216
376,-106.94979651887053
377,-166.71420993421017
378,-411.81527921253627
379,-1612.4581404921391
380,-2981.398095342197
381,-2647.6450666257083
382,-2825.509722211292
383,-4517.091642464371
384,-5883.096114772674
385,-5503.314198388172
386,-4815.769712272996
387,-4469.196962941212
388,-4550.919823095486
389,-4285.873141303386
390,-3979.5334161916953
391,-3882.0318369299794
392,-3279.9725045375076
393,-2661.9377743245695
394,-2701.2952402767014
395,-2337.248098678982
396,-2085.37897801631
397,-1764.1965168869551
398,-1660.2889697122396
399,-1636.2653214742302
400,-1477.218472136597
401,-1338.5083495359538
402,-22.25359013159664
403,-21.641897785540557
404,-11.297980153532883
405,-4.684686675637721
406,-360.83729180089614
407,-939.2129168405023
408,-1487.2481643262795
409,-2861.5282555252898
410,-2513.4214584932397
411,-2569.7006041018126
412,-2615.02977242346
413,-2240.138943872287
414,-1989.6903511116643
415,-2551.7798212801094
416,-2110.223179157741
417,-1964.5861256957287
418,-2076.4621001705996
419,-1383.5281183007694
420,-1901.3480068111417
421,-1902.8877228195338
422,-1163.348692861335
423,-1158.02211759124
424,-899.6716821234819
425,-792.322269330528
426,-174.86942320083537
427,-854.0411511186701
428,-903.5923335422721
429,-1012.4358046476941
430,-311.47667788599495
431,35.92287961105691
432,43.83451591554252
433,-62.08374889393998
434,90.02759495711688
435,-330.88851253185646
436,-1081.933990048297
437,-341.6325524040591
438,-1.8245762129716838
439,-1.7025556882685304
440,-4.458574078685616
441,-4.750982758433824
442,-12.059916773910293
443,-4.266668797258806
444,-3.607464565149398
445,-8.233195835717803
446,-406.37118032724646
447,-245.97850200958842
448,-288.68633238755007
449,-71.8222150934685
450,-8.125990767751723
451,-18.68636489821816
452,-502.40318876858953
453,-542.8874218792657
454,-328.0031324397604
455,-595.3217573476797
456,-16706079.19449487
457,60.29823319338889
458,69.6601174039271
459,81.57446105932976
460,34.054165578607964
461,30.5705879287883
462,45.18725680088122
463,58.53518317668614
464,12.629598880936825
465,46.17522215196812
466,6.225201577540403
467,43.22403030969577
468,58.23768899266762
469,74.10315329483844
470,0.06282610817203249
471,54.343313859224736
472,-2260.621989320834
473,-135545399.2961064
474,-47983267.02789324
475,-1217556898.2006302
476,-24546405.99496306
477,-25094.828958370465
478,-49616.99095160251
479,-4016.5203064888697
480,-53005.00733336113
481,-4272.830543782117
482,-1517.6980971391658
483,-858.0419252015743
484,-735.9967363263273
485,-814.6373097662583
486,-1283.7875301434387
487,-663.3730742709886
488,-859.2102655581295
489,-960.7729518899087
490,-408.7257658939668
491,-604.1032160607313
492,-455.2461116626103
493,-3420.6707552218254
494,-1562.178044351225
495,-1154.9807391142624
496,-288.0026395684765
497,-270.51753861809004
498,-141.85816292764952
499,-60.23944797755378
500,-105.64614887058809
501,-65.9739106915421
502,-31.622688573198126
503,-43.00342281532052
504,-254.25922174950426
505,-29.980237147104035
506,-19.604861038160205
507,-16.115992538385616
508,-147.31436378765824
509,-144.78238667438217
510,-66.53240923301676
511,-9119.972040837754
512,-28.70809074984318
513,-6.758360219578421
