,0
0,20.21812527481717
1,-500.104812661173
2,-812.0348193272104
3,-549.6483289928287
4,-486.9329562897907
5,-437.0019689924846
6,-604.0768269665795
7,-420.2499019461283
8,-387.5576288332671
9,-518.6993960769381
10,-500.57227424417607
11,-509.11393339672543
12,-579.9928105813449
13,-473.55893819438035
14,-509.39871616925865
15,-471.19069916870257
16,-644.100414800343
17,-341.534225208495
18,-545.9150009184525
19,-349.8642677950134
20,-383.27579560750087
21,-458.47519253577724
22,-515.9105986252063
23,-583.7508670066608
24,-470.17393405078985
25,-714.6382480923496
26,-635.888013016425
27,-458.4831882450131
28,-363.94356897694894
29,-490.50005751181084
30,-460.24845063165384
31,-440.05579815324154
32,-457.4338197011685
33,-325.5006951618684
34,-968.3036233047037
35,-833.435798337374
36,-589.354687739083
37,-520.3980990315957
38,-424.5376814382473
39,-328.39280740740827
40,-470.7865437342874
41,-480.0730491461651
42,-405.7099310065371
43,-798.6264627286102
44,-773.1475101042938
45,-276.4892184649832
46,-375.0201984014773
47,-1169.8094508353151
48,-742.8211120408117
49,-483.4874632187417
50,-749.6345026968277
51,-1071.8672504926196
52,-1126.4944781991412
53,-620.4852209183462
54,-958.9146071849967
55,-718.6923268669268
56,-795.5012082533789
57,-1214.255294349047
58,-978.560821765411
59,-1110.8984095945439
60,-1179.4576918473906
61,-1271.2016726040188
62,-744.892230242319
63,-1190.033370473678
64,-721.973488882239
65,-697.9062761692807
66,-723.832071974407
67,-753.4652936221196
68,-754.0168291415501
69,-884.4003507193024
70,-784.4232877152463
71,-753.8110770481337
72,-858.0634875034681
73,-958.6674592903216
74,-850.3904293482558
75,-723.9768920361963
76,-785.6454860235052
77,-1374.340361247559
78,-694.0918566321782
79,-595.7646814367642
80,-752.8475491648442
81,-814.931536926907
82,-901.1244319889008
83,-1235.886968040351
84,-596.221471828772
85,-923.6360306584193
86,-780.1688724830525
87,-935.8132671103815
88,-715.4078503201775
89,-720.1038588996606
90,-1208.2814879945652
91,-607.4189004947755
92,-1020.2655639046284
93,-762.7826219859271
94,-963.8363537569745
95,-871.5069692352448
96,-702.3344392322515
97,-1021.5272909305321
98,-761.077092826612
99,-777.4360446535635
100,-855.7269913472862
101,-906.0256025478756
102,-1892.1271083999625
103,-791.1074604867936
104,-755.7068064791213
105,-1087.297725465629
106,-1421.4748972221882
107,-1577.3698108566994
108,-850.0864776342028
109,-903.748876778064
110,-1192.0200582838193
111,-857.3875648270474
112,-664.4386389742097
113,-1576.8355221156935
114,-473.06971931105414
115,-439.14380603563893
116,-838.880909282119
117,-803.3889516684211
118,-763.2455935997168
119,-746.5890977541795
120,-596.3944612808054
121,-894.6770798549283
122,-537.2372995115783
123,-762.2897645629538
124,-1089.4352336311445
125,-794.1415973852226
126,-1026.9718151466946
127,-1367.8770929644177
128,-797.9073631646149
129,-779.2728397376019
130,-975.3789966576094
131,-1831.1669374489788
132,-717.6988206765417
133,-718.1923862565441
134,-808.4103289679616
135,-843.1543590255492
136,-1541.7366793790063
137,-757.1514352363555
138,-758.7418659244322
139,-712.8378796883512
140,-935.1283179165099
141,-1146.4275838178237
142,-1336.52526843397
143,-937.391795011628
144,-865.6940654138544
145,-743.8806057951624
146,-711.3175192406251
147,-770.1833135002073
148,-911.8084958390293
149,-1692.14253102847
150,-955.2220008714883
151,-905.0309716328126
152,-783.4205600133865
153,-801.8394100799369
154,-1046.0647658238602
155,-720.5336497195888
156,-933.7259611035086
157,-437.3594060386085
158,-511.0374191559238
159,-383.97949797057987
160,-481.01207750509406
161,-329.88908277704905
162,-893.2117432430256
163,-573.162695675654
164,-151.91739834177423
165,-170.25453753265413
166,-235.82858862348556
167,-481.141226406894
168,-857.1251102616934
169,-172.93714842872646
170,-1304.233683588652
171,-395.6436832374878
172,-145.18979135300052
173,-691.4510461446647
174,-139.45835038390769
175,-459.0746937151715
176,-145.63512114645445
177,-54.46066331092544
178,-663.8794727768739
179,-39.22867737397166
180,-415.78966364610994
181,-339.0312541600234
182,-235.38520618874875
183,-55.04848742987125
184,-146.4858952207914
185,-158.22804523409383
186,-132.18546627694133
187,-178.10506924728713
188,-248.02001634325032
189,-344.04201224923355
190,-193.77771703464458
191,-430.5881356245781
192,-361.79251162025935
193,-442.5455826020221
194,-363.603460406099
195,-287.3338981651877
196,-492.62110254058695
197,-769.092293707412
198,-371.09885742918186
199,-263.4009549769494
200,-223.6143216712199
201,-333.79667510317205
202,-493.3587175332203
203,-344.28435868269844
204,-834.0523653472643
205,-542.8009518335427
206,-190.66702974032287
207,-362.9854635859964
208,-368.02608732115283
209,-181.23277455230786
210,-198.30625449040997
211,-207.60296603214718
212,45.67343118689254
213,-141.96864234020592
214,-141.19351805691366
215,-156.41695910325723
216,-300.9377811870378
217,-114.6561751599396
218,-77.49970813707708
219,-525.7228942295962
220,-460.0237700149641
221,-502.4484824840293
222,-476.43768345245195
223,-215.73070103644187
224,-426.57547284429904
225,-487.2186632394464
226,-599.4415632518248
227,-276.02922095641054
228,-523.2124139662822
229,-1134.1157651671106
230,-1321.0962397907222
231,-590.8257190554878
232,-1416.5472598299066
233,-627.0128523534119
234,-625.9435998803262
235,-574.0370731030371
236,-203.55897156918877
237,-1326.8898665798358
238,-831.8670937517553
239,-717.0742632539605
240,-1572.443151199986
241,-507.86365572043206
242,-872.214022028882
243,-566.5608751231271
244,-638.2786734589503
245,-2201.356639973096
246,-445.60167743371295
247,-675.6948235004315
248,-1520.134400509211
249,-1713.2926370941516
250,-509.881896014757
251,-1998.4128913583907
252,-711.9592286322126
253,-521.1605499657976
254,-623.2263524516917
255,-2130.6050138293967
256,-3734.035040084135
257,-141.3260485620566
258,-1080.027249084354
259,-558.6321910303097
260,-1075.6455195909598
261,-713.0908065031126
262,-519.002330955774
263,-1419.4877383330447
264,-1367.4056821886338
265,-2602.0118674731266
266,-566.3907073541361
267,-606.0821866462909
268,-449.1804600386807
269,-928.577836977643
270,-559.8038400657831
271,-818.471208311768
272,-1300.8726271575204
273,-475.03885350517453
274,-440.3805839897975
275,-539.0607234808324
276,-627.0027900773182
277,-424.0331332848134
278,-561.8736145425532
279,-1146.4503150205321
280,-717.164671025598
281,-634.1373173653789
282,-555.8588864591036
283,-515.3657751003392
284,-562.412059131235
285,-425.44082804630557
286,-534.2042699841586
287,-805.8421665823691
288,-1673.9373151927514
289,-745.0811374434523
290,-679.9889000562872
291,-743.8246688991397
292,-781.9785986016973
293,-783.6074499224451
294,-576.7283915471492
295,-778.6548623637728
296,-609.6622478959296
297,-667.2394108437711
298,-454.81176134445843
299,-703.659162553567
300,-807.9310079544255
301,-925.89618562542
302,-739.291112114982
303,-683.9620187497512
304,-713.6533363336268
305,-512.6283637232259
306,-564.0747915077065
307,-934.6011337526811
308,-1476.6289128176306
309,-711.9904792763366
310,-478.926629888383
311,-574.9266363479828
312,-1965.0920598878624
313,-1099.1448360719362
314,-1852.3477447633813
315,-494.3715514390639
316,-684.1798142393877
317,-1001.5602538757292
318,-835.4774929817978
319,-504.8022576307021
320,-606.0777625218005
321,-711.4580748860426
322,-656.8983953702661
323,-424.1181249986443
324,-503.9165516262856
325,-933.2496200964601
326,-579.7411393938872
327,-730.5989547077093
328,-685.8691276664829
329,-441.96940008171913
330,-556.8011232856711
331,-499.2626880109127
332,-745.404347009331
333,-673.1332014861684
334,-517.3896189924367
335,-944.4843004005668
336,-472.5714348643145
337,-707.4733839049939
338,-566.0542582749889
339,-1499.9383112639405
340,-867.3056025605995
341,-874.4935447769608
342,-754.7355926717592
343,-633.7851646973712
344,-502.27069478722365
345,-1911.065000991691
346,-511.3013111715083
347,-547.5823244908295
348,-641.5257772011518
349,-619.2171513652956
350,-475.44846115196356
351,-431.54293230828137
352,-597.4618189117919
353,-2473.1424654295906
354,-571.7887722805552
355,-1456.373086938587
356,-548.4889486876676
357,-624.2183468558858
358,-1231.9795398582835
359,-1241.984975153549
360,-470.9516225037865
361,-449.99630906346084
362,-328.3357311038711
363,-1316.3738723726258
364,-1025.433381764386
365,-453.06965105053325
366,-866.5618005517862
367,-445.69847149636075
368,-561.5298250193252
369,-492.16005486259746
370,-395.207418299915
371,-356.6427571811657
372,-561.5659633321361
373,-387.047205449333
374,-349.2091075205467
375,-305.6155134202882
376,-335.4235354573571
377,-321.77138409028333
378,-249.03377300260374
379,-337.8003197669757
380,-227.2007196322004
381,-54.61724064748155
382,-797.2148107948716
383,-61.706091940167454
384,-290.9204858461965
385,-663.7782259702448
386,-834.4634791532253
387,-835.0558308002428
388,-858.6975568145896
389,-747.3239624415003
390,-656.3069424846915
