,0
0,-59.27878590021316
1,-259.8577369407384
2,-62.65707640581104
3,-112.06983641439624
4,-255.85883944863886
5,-97.79950712845978
6,-84.35742009810852
7,-61.61171796277277
8,-13.308203244871422
9,-258.97996445176733
10,-87.58079590810078
11,-307.11066964968927
12,-406.6356479922295
13,-310.5674311990292
14,-472.51345516909555
15,-687.4946187495032
16,-155.57122751512134
17,-84.07948877180657
18,-345.79222151796637
19,-571.42025989592
20,-341.6030801064359
21,-155.8118219273289
22,-115.31245941244143
23,-130.63627995752276
24,-100.67059809261254
25,-103.34631045292221
26,-25.992050122879647
27,-163.23034281564023
28,-298.5234112226061
29,-199.78268016044512
30,-177.96049157537612
31,-189.99301718073804
32,-180.79232552470967
33,-222.60086545905193
34,-192.5485545025735
35,-239.61644660734825
36,-210.57109151059893
37,-244.4842653343827
38,-185.74725640193046
39,-290.9388714879657
40,-215.45830750652908
41,-298.86068008607265
42,-258.1048797969576
43,-223.72174523290397
44,-244.33273471918096
45,-120.56944955118794
46,-185.16255163846543
47,-266.76410095817573
48,-270.0099486761302
49,-201.23381132761784
50,-104.53752214010521
51,-250.41006757484698
52,-240.44063135234776
53,-176.5568158425656
54,-137.4973638839278
55,-291.46587011827603
56,-263.1315852290853
57,-243.70285425103663
58,-154.97991874307303
59,-202.60141844686925
60,-90.51124080908227
61,-162.6542588228118
62,-34.21604366896244
63,-145.68191135581534
64,-116.95938271365836
65,-74.16647243135746
66,-143.80424625353157
67,-27.413978800761683
68,-17.194914310741197
69,-207.04673232678368
70,-158.70890206021693
71,-119.73038216224587
72,-140.07220129549037
73,-148.24677298546158
74,-9.036015571595712
75,-65.78959890881865
76,-167.7317398701546
77,-117.04789181940791
78,-191.65714258839205
79,-78.26546359774191
80,-87.99291585344953
81,-146.85566228607166
82,-258.4029718123944
83,-116.67637379065803
84,-38.842133990680225
85,-114.67326484219485
86,-272.06894128963216
87,-143.49489862991538
88,-125.61757545854606
89,-123.86150865867177
90,-152.476816478427
91,-143.0429298117644
92,-101.40869428877019
93,-133.11087543512517
94,-100.1463773068046
95,-178.50981458754296
96,-134.47106808290644
97,-164.38309290376162
98,-120.88730627643628
99,-110.5673875095853
100,-136.91965422336878
101,-195.31460591945935
102,-168.5683586934083
103,-121.57737913178954
104,-101.93149187366008
105,-139.43832942146457
106,-127.17828830610142
107,-159.3877066090696
108,-160.3237326783956
109,-64.188479692152
110,-113.50889603188236
111,-145.02286522082625
112,-128.65137386329135
113,-113.80786723766948
114,-106.63754017399017
115,-144.94287395965497
116,-127.86023761238886
117,-120.04631368107775
118,-74.46748027796536
119,-195.7010426932336
120,-132.7015202678744
121,-97.42723614641322
122,-165.9178783408271
123,-84.05939361039218
124,-107.9921238863783
125,-120.04213742500943
126,-177.29295097267772
127,-131.15274223181584
128,-159.04247369280557
129,-109.31466392968365
130,-98.07954124659273
131,-135.50800245521452
132,-98.53928446930439
133,-89.62975410490765
134,-106.44937495453313
135,-105.11513177418996
136,-109.46360702663013
137,-171.34546042780914
138,-192.7271514618863
139,-102.79385279650563
140,-151.38927724744485
141,-171.05864259956735
142,-94.68575275831783
143,-175.43634238825905
144,-130.90376616560602
145,-107.86756101833247
146,-93.08688952638609
147,-142.45184725645152
148,-127.8399736625135
149,-97.91120557137693
150,-135.0359151359915
151,5.927248776996791
152,-112.03250180392865
153,-131.6956332287537
154,-199.36517588393394
155,-90.0608040735141
156,-138.9306362605535
157,-110.84868389914215
158,-132.44072443392344
159,-180.3496567998647
160,-98.91728611852936
161,-21.730731943856483
162,-126.32149723319004
163,-158.94739696162645
164,-136.79857542161207
165,-132.86293733569948
166,-136.95754294716724
167,-123.01632915462565
168,-137.2437572501945
169,-118.75180602339097
170,-128.98477989258632
171,-117.34696270342913
172,-88.65819725114115
173,-101.38979855049854
174,-149.73871336889474
175,-154.21087785251433
176,-151.71560611931477
177,-128.44315903317107
178,-117.63571136018602
179,-109.88122019967258
180,-32.968442013865086
181,-151.94642773549168
182,-91.99351290926172
183,-358.5750369745468
184,-138.56936731373943
185,-90.96311862869571
186,-169.85738548132363
187,-116.29029491149694
188,-113.86680412076046
189,-171.82040349537112
190,-122.1738473871497
191,-135.23242956427924
192,-112.00560764217231
193,-107.99714911186469
194,-110.23742301424774
195,-133.4558116820423
196,-134.19520894429246
197,-144.82724576696285
198,-110.50894992417682
199,-187.9660427034603
200,39.18609741875119
201,-124.36670970058734
202,-128.3803471254227
203,-149.15304496130204
204,-103.00090187289285
205,-118.22521756382005
206,-112.04645781464714
207,-112.30995001721993
208,-98.65280965696553
209,-129.87656217711628
210,-137.33978385368735
211,-152.31166625932377
212,-117.89164751695843
213,-107.50558530592437
214,-151.75786502033162
215,-100.93775392185103
216,-156.72872593512244
217,-109.32398222912474
218,-151.01872625289786
219,-125.4006428108413
220,-137.65782295909634
221,14.136285159487826
222,-156.66320327035356
223,-138.359420110982
224,-122.69083575226858
225,-134.98000223808998
226,-131.1337585444577
227,-171.75995280541792
228,-111.47523072227038
229,-157.86518962540669
230,-135.32885503998608
231,-134.61965052059935
232,-137.21772747376545
233,-110.9351066386721
234,-94.70320928004514
235,-158.4344575832365
236,-104.7461033992693
237,-153.7681756844762
238,-146.33954119688386
239,-124.6680083208758
240,-100.82407546748445
241,-118.51862356567506
242,-127.27889063516002
243,-89.90682480598642
244,-95.21383241101223
245,-84.56063918715682
246,-100.11725436267822
247,-129.0691376873735
248,-109.36572787157685
249,-142.6943203564537
250,-89.03976835718572
251,-131.26204403496257
252,-131.80624442370333
253,-133.99189378757433
254,-141.52962263519663
255,-85.87481018739435
256,-113.76592335692393
257,-109.94377406511029
258,-120.25444787348222
259,-192.5417274051356
260,-148.77043770149535
261,-40.832183802305565
262,-133.18213390576943
263,-137.31881749199883
264,-98.35426329603288
265,-86.2827509693076
266,-96.64781792168256
267,-126.70837280719658
268,-104.70490282684055
269,-117.21181370065653
270,-85.82811229832146
271,-164.31607634734306
272,-127.3068975810327
273,-193.07756109816097
274,-190.79101562374132
275,-107.88277560213847
276,-113.53284164336009
277,-122.9177559548856
278,-106.93164427597793
279,-148.82345603831828
280,-138.6985328579566
281,-95.25527491815447
282,-114.48342677880954
283,-334.1974628921423
284,-187.47095534164998
285,-119.1894895535054
286,-143.3656489659189
287,-93.91189752409447
288,-142.56833378053847
289,-146.1265868789906
290,-124.05063872605976
291,-110.76441911899724
292,-133.79253985806113
293,-132.224230304966
294,-119.83353876036117
295,-167.5006308142205
296,-124.18169368463927
297,-95.7265423588159
298,-116.8648408234879
299,-98.79618547561451
300,-105.03967827559505
301,-97.43340555172259
302,-128.11245424408293
303,-149.19605105815515
304,-186.48310299729764
305,-109.28957025286333
306,-166.80804589592282
307,-158.09526860441702
308,-131.52691183320496
309,-104.99944641038465
310,-141.9214358399444
311,-139.67405774770234
312,-169.44084294502852
313,-125.8534987286236
314,-124.12000769100442
315,-97.72949941335241
316,-98.2050885460657
317,-91.95706339425944
318,-91.85077416921156
319,-175.93474705922284
320,-139.30300737812294
321,-116.63697094912584
322,-128.3608559125239
323,-129.56339832176062
324,-123.60640388388782
325,-131.481398324126
326,-107.68252443126356
327,-102.4949302619295
328,-119.6556890755779
329,-150.71027977911595
330,-89.34969860954438
331,-86.73409421269972
332,-119.34296119223927
333,-105.79876525624641
334,8.95050146153298
335,-250.90417617503937
336,-142.820440441985
337,-103.33254842526966
338,-108.3456276884763
339,-150.50657464315424
340,-115.09845679605293
341,2.8253918385513686
342,-126.65510050760746
343,-105.60588165025463
344,-93.01623009013582
345,-155.82166596543726
346,-110.68963917939826
347,-131.94890743325493
348,-126.99387830445183
349,-111.0109949826057
350,-102.49782847231305
351,-122.12095686648657
352,-126.79174099876315
353,-129.530755164075
354,-146.46192930349488
355,-121.04646152853148
356,1.0068148030376705
357,-173.4968601805219
358,-111.908098795977
359,-103.97220324446849
360,-125.81318318337819
361,-113.97456278391562
362,-108.48784846144852
363,-111.02220904280344
364,-28.319203453804676
365,-106.3909335899783
366,-163.32687018491328
367,-113.0553056185891
368,-122.38988271110665
369,-147.4069601983304
370,-163.5751564819414
371,-88.0176601606137
372,-144.28153310910977
373,-149.95376607658426
374,-142.38195766797327
375,-131.99837031411107
376,-168.40588239834594
377,-137.90310363761859
378,-114.87611637937552
379,-119.1768216996937
380,-160.36384326113898
381,-168.54895823690785
382,-133.91533961977842
383,-104.73573000325489
384,-181.46111084120537
385,-147.08014718246173
386,-145.86454325113917
387,-114.30493657700379
388,-145.81410129115665
389,-122.5585593950014
390,-211.69848383908078
391,-56.0679316923743
392,-140.22574984944964
393,23.08215892975231
394,-145.90579261216294
395,-156.69498231126346
396,-131.0310934613918
397,-164.56940367428626
398,-152.65898463177092
399,-148.67583581106715
400,-167.97059893767587
401,-114.38911030615975
402,-151.97995380077884
403,-140.16542335748144
404,-126.14806440621345
405,-143.23780643665202
406,-106.65809003308539
407,-123.15562446705172
408,-160.4487987183093
409,-166.65541701739875
410,-105.5650710016223
411,-122.81616953727291
412,45.13051442118922
413,-146.3969935648995
414,-136.15248391845816
415,-89.01767332974933
416,-125.62968860256312
417,-129.35197640376606
418,-129.02919564922883
419,-106.87000292664699
420,-91.82758924804894
421,-168.9923228024336
422,-130.3961236880708
423,-108.7434209903866
424,-135.97245411125562
425,-123.33703445691799
426,-138.5836495697065
427,-179.99649110174926
428,-131.11429884820734
429,-97.9241714157254
430,-116.28226283858419
431,-116.94287141627308
432,-147.69309772666676
433,-114.96070596783991
434,-158.554717676803
435,-165.24889152686035
436,-143.64791758063703
437,-178.38812432733454
438,-115.36830569949495
439,-104.59560766712232
440,-183.60865247705613
441,-182.9693075567232
442,-82.74504394874864
443,-141.2802747044136
444,-101.4773498839323
445,-116.78309665374076
446,-105.16860658009254
447,-121.15386692059018
448,-129.3577322470241
449,-154.49282559262207
450,-145.3874024144143
451,-144.1454036124707
452,-154.98485665445608
453,-126.93279453759726
454,-136.77539302095903
455,-85.18705961657534
456,-128.643580208046
457,-153.15050013342056
458,-152.3148209984709
459,-105.65871283678992
460,-114.22880064331979
461,-124.68272976765198
462,-139.9660097241828
463,-117.23545332433835
464,-175.48199002855836
465,-102.44098408600112
466,-150.4969209357249
467,-257.70770056449146
468,-187.00555070570692
469,-16.79947524150306
470,-138.28769605403227
471,-148.70356410513466
472,-153.7667899354008
473,-133.05784209533863
474,-97.28938099846859
475,-118.64898639719794
476,-119.27043273757859
477,-140.75041842727535
478,-106.49374779119645
479,-114.46495389476229
480,-98.69838903337097
481,-186.1383075004989
482,-122.41550801755403
483,-103.422061608299
484,-144.78464867008643
485,-147.3734136194799
486,-89.21499808895591
487,-136.60093496661182
488,-97.17225386887478
489,-133.89632382966525
490,-156.2158298362706
491,-160.41065960628868
492,-105.11041971732566
493,-162.03837691365763
494,-134.6088836294819
495,-105.12360781108697
496,-94.99321328886049
497,-162.65667109353825
498,-144.76523858296298
499,-80.9806540298764
500,-232.56359064840817
501,-143.97614357969763
502,-139.37646396233094
503,-112.12003417771032
504,-177.60716745233321
505,-126.68525053665104
506,24.27087008409049
507,-90.61688484877442
508,-115.76841798278883
509,-84.6878788137414
510,-159.02106138802026
511,-178.91762152304753
512,-150.26826490939573
513,-101.25197133095426
514,-151.72038596498365
515,-179.4374901605077
516,-163.82144989759553
517,-124.76728181769505
518,-140.67419117360788
519,-135.52960686009584
520,-319.5617557640787
521,-156.1964221298927
522,15.959813932570114
523,-96.14121495786796
524,-97.07486465479528
525,-145.43533182321883
526,-139.79109355210886
527,-95.90541192008183
528,-127.48020682821792
529,-101.87015602010067
530,15.966122695421845
531,-193.0309017633431
532,-141.95677094452316
533,-140.50060718780426
534,-139.71479179446266
535,-135.28945846766888
536,-136.35402156427074
537,-132.9176439323368
538,-146.60626105475637
539,-123.15487671585333
540,-211.30793598142057
541,-96.38921217029889
542,-142.95572102068434
543,-119.14947480058548
544,-138.9086615837376
545,-93.0718228119
546,-119.95657683468173
547,-124.12240298215741
548,-125.83054358269673
549,-136.05129917837849
550,-137.67548129747786
551,-152.5145332783094
552,-87.55119358775478
553,-92.0068478197414
554,-122.33105352045894
555,-122.39319970759304
556,-89.04379792567164
557,-130.42555081774586
558,-123.85027992799328
559,-97.83054562627981
560,17.793321223384112
561,-135.87854389172884
562,-107.75794445122649
563,-125.64603077204322
564,-122.70785633433812
565,-34.951851125742394
566,-130.35814750226464
567,-114.97617050927781
568,-102.31865470274965
569,-130.52033484148558
570,-93.95807937451869
571,-152.4123023751857
572,-141.14815021052092
573,-143.92360894673794
574,-125.2968416401155
575,-128.44490587811174
576,-133.84654750179027
577,-180.4873777809388
578,-119.9469347513398
579,-147.24306916187527
580,-128.74602943567442
581,-96.90951301707364
582,-96.29001002821884
583,-170.21285737001784
584,-140.81070583986244
585,-131.31020857389896
586,-142.58608772940906
587,-84.46520314916694
588,-107.8636708063299
589,-177.5449094872157
590,-321.8747610653688
591,-115.07311209567408
592,-126.45410575272109
593,-124.4400120044301
594,-108.06220794968385
595,-158.5089074015398
596,-179.2994856954894
597,-121.9132454379419
598,-139.47451327267868
599,-134.11892621235737
600,-103.81376101104769
601,-91.51734617194467
602,-130.55224187204132
603,-133.1067226729361
604,-102.1573157658806
605,-139.86642555665873
606,-177.11082348764737
607,-167.94956645453954
608,-144.22384412925607
609,-149.9716519765797
610,-138.46416042498208
611,-126.69454589888088
612,-111.81542828468633
613,-122.51810479724959
614,-0.4375331422196922
615,-122.49468016551037
616,-114.3218814885535
617,-157.00777773438497
618,-131.34656566879352
619,-111.60833955462293
620,-127.11989562588198
621,-19.826180189568632
622,44.4413860247719
623,-161.62181493074547
624,-95.3808766442245
625,-95.16831724119787
626,-168.38804717430799
627,-126.4844623608399
628,-33.84812510306537
629,-149.38435089620006
630,-126.81534500478834
631,-194.54557039889997
632,-119.29753399388376
633,-131.68900847211995
634,-194.81888281337174
635,-124.86658883613856
636,-126.91817130932264
637,-145.04097810310398
638,-152.9861134092402
639,-113.75729779757216
640,-157.8881807392885
641,-105.34208409621654
642,-92.76313967870115
643,-117.86388111043169
644,-139.30638223263577
645,-125.38882145105443
646,-134.68649599783421
647,-114.63114704115074
648,-125.03402798429639
649,-115.02014531056241
650,-151.1717212606471
651,-136.35815152219482
652,-167.4716172872598
653,-187.02219318535018
654,-100.19677152859535
655,-102.88512485504899
656,-174.8639148120994
657,-113.26800195507485
658,-106.01559182808035
659,-99.34663379151829
660,-147.9404872480929
661,-150.58810109206092
662,-141.644882492172
663,-118.60114812884508
664,-100.87250375090036
665,-120.79402186216109
666,-152.86505483611992
667,-114.7334185355777
668,-96.47155237702259
669,-179.59122580345482
670,-148.1141656875811
671,-154.68432973671062
672,-147.63929863879932
673,-93.27743450650652
674,-96.92512836321569
675,-126.03761488035042
676,-132.64544222649448
677,-120.34805642019273
678,-134.8390591615697
679,-139.44770539184105
680,-101.5644288902295
681,-121.05417694642043
682,-111.84984556264861
683,-122.9825224341779
684,-130.24723878894955
685,-93.94288012271139
686,-106.0590410400245
687,-211.366194540303
688,-123.54323404273725
689,-157.71991849704608
690,-98.88094931828752
691,-135.89956736757745
692,-118.97137199346747
693,-142.5715052531188
694,-132.83090423942582
695,-131.05022052735995
696,-127.81025119494839
697,-175.20762989322793
698,-152.81428959776994
699,-163.80170982041085
700,-122.44504923221544
701,-111.30754382064276
702,-121.85197671813228
703,-105.9634522817819
704,-109.71174328882938
705,20.963762603889478
706,-142.8604259248466
707,-91.53224848371507
708,-134.94491800307975
709,-107.62727718465587
710,-153.38175673658884
711,-109.80110062343199
712,-123.70931128849007
713,-137.34110876519543
714,-130.9753170497362
715,-101.79207179660388
716,-139.94318441397098
717,-127.76701487781924
718,-98.89637077550536
719,-149.7301786404421
720,-158.61872430266317
721,-123.60388177885453
722,-124.90198058944974
723,-110.03572517834377
724,-128.91183415318557
725,-125.41507955633989
726,-110.092486762823
727,-101.61164644500704
728,-120.31518129189215
729,-131.8280639474039
730,-129.92170676341453
731,-106.63311843608693
732,-110.49219904165943
733,-124.27716377987014
734,17.09748451100016
735,-146.55070646109888
736,-142.9712349076831
737,-106.82828346330382
738,-103.63641901020232
739,-121.78367867082233
740,-107.3058438148696
741,24.550361091703337
742,-119.68083885547148
743,28.312946823375682
744,-115.7054338465574
745,-132.4641335920489
746,-105.79623201310002
747,-157.08902910732243
748,-135.02659305843247
749,-93.81431105610886
750,-164.53224263326643
751,-147.66904031958927
752,-119.64199990353991
753,-94.0010945837493
754,-115.6673780275456
755,-92.31260086558396
756,-118.42952480231466
757,-133.87204815291255
758,-114.67757000741432
759,-120.26961315088545
760,-115.615048657765
761,-116.98287945875884
762,-129.65864308519508
763,-141.12002815733368
764,-121.6519462567123
765,-96.13826583911131
766,-131.97026234886263
767,-119.21989560536072
768,-111.90405515526598
