,Stochastic Scores,Steps
0,-119.6546566574397,71
1,-109.23982901692251,104
2,-35.21308456915801,117
3,-221.73339495358056,97
4,-312.98979030854434,66
5,-152.20172339212291,67
6,-109.1009740732392,54
7,-130.17964514772456,82
8,-623.865258009464,140
9,-374.42826429766086,108
10,-193.5062873459303,95
11,-181.89217403285497,90
12,-65.62470988715543,93
13,-176.7784324724995,131
14,-43.79443453907808,269
15,-244.22076911370198,131
16,-380.6900729108753,188
17,-327.3389416209631,162
18,-332.4825191294112,240
19,-213.81788862834162,114
20,-174.53482499967419,101
21,-100.46365483164277,107
22,-202.4202444653768,107
23,-215.59846947030417,142
24,-119.00035466778301,287
25,-415.08436514863877,203
26,-206.85567540794406,218
27,-215.5940587791206,221
28,-159.45260667982626,468
29,-73.19725555843169,443
