,Stochastic Scores,Steps
0,-18.31191914208744,999
1,-33.62449961421742,999
2,-31.754551661418347,999
3,-33.80391595146605,999
4,-32.58880053507456,999
5,-32.168673005213144,999
6,-31.704512892856844,999
7,-32.366885096332716,999
8,-33.18282317508567,999
9,-32.99843461385343,999
10,-33.75786932380003,999
11,-33.018697981309224,999
12,-32.469723767115774,999
13,-32.56459496928826,999
14,70.77064972101878,878
15,-31.42012816658001,999
16,-33.68866736439012,999
17,-32.872222594609646,999
18,-33.07341853935953,999
19,-32.5925217816728,999
20,-31.826310285457556,999
21,76.04461308347797,699
22,-31.727889158668358,999
23,-31.89756186084397,999
24,79.45498540074448,674
25,-32.97420889268725,999
26,-30.106075578314606,999
27,-32.665414851181914,999
28,-33.18236318307725,999
29,-32.261452726789955,999
30,-31.88525924613908,999
31,-31.201042244458428,999
32,-31.68177552558678,999
33,-32.66957093398622,999
34,-31.57448399994178,999
35,-32.784754972582505,999
36,-31.552523449341244,999
37,-32.65549379568753,999
38,-33.19384287944588,999
39,-33.16989547562534,999
40,-33.14094045418191,999
41,-32.767379230757285,999
42,-33.68106367041771,999
43,-32.1133500589631,999
